Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Volume,Open_Interest
Euro,Future,Currencies,"Dubai Gold & Commodities Exchange",DGCX,"United Arab Emirates",Asia,2017,7,2017-7,16552,1025
Euro,Future,Currencies,"Korea Exchange",KRX,"South Korea",Asia,2017,7,2017-7,66534,38042
"Euro FX",Future,Currencies,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,4449786,455955
"Euro FX (European Style)",Option,Currencies,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,13,71
"Euro Stoxx",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,8496,20597
"Euro Stoxx 50 Ex-Financials Index",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,0,3628
"Euro Stoxx 50 Index",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,17156843,3498867
"Euro Stoxx 50 Index",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,16135504,33105204
"Euro Stoxx 50 Index (USD) (FESQ)",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,2629,20331
"Euro Stoxx 50 Index - 1st Friday",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,366968,196835
"Euro Stoxx 50 Index - 2nd Friday",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,203695,35365
"Euro Stoxx 50 Index - 4th Friday",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,599875,8271
"Euro Stoxx 50 Index - 5th Friday",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,1000,1000
"Euro Stoxx 50 Index Dividend",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,213655,800526
"Euro Stoxx 50 Index Dividend",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,88496,1178929
"Euro Stoxx 50 Index Total Return (TESX)",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,30497,131505
"Euro Stoxx Automobiles & Parts",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,5889,5496
"Euro Stoxx Automobiles & Parts",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,275,552
"Euro Stoxx Banks",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,2800897,1128520
"Euro Stoxx Banks",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,1477597,4134923
"Euro Stoxx Banks Index Dividend",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,2200,12774
"Euro Stoxx Basic Resources",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,3176,2676
"Euro Stoxx Basic Resources",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,80,90
"Euro Stoxx Chemicals",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,594,519
"Euro Stoxx Chemicals",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,0,3
"Euro Stoxx Construction & Materials",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,398,351
"Euro Stoxx Financial Services",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,66,82
"Euro Stoxx Food and Beverage",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,426,339
"Euro Stoxx Food and Beverage",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,0,13
"Euro Stoxx Healthcare",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,999,505
"Euro Stoxx Industrial Goods & Services",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,299,598
"Euro Stoxx Industrial Goods & Services",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,10,10
"Euro Stoxx Insurance",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,10990,7307
"Euro Stoxx Insurance",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,2915,17850
"Euro Stoxx Large",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,240,86
"Euro Stoxx Media",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,413,397
"Euro Stoxx Mid",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,7587,29048
"Euro Stoxx Mid",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,300,300
"Euro Stoxx Oil & Gas",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,10336,11695
"Euro Stoxx Oil & Gas",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,1052,8448
"Euro Stoxx Oil Gas Index Dividend",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,0,530
"Euro Stoxx Personal & Household Goods",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,1129,373
"Euro Stoxx Personal & Household Goods",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,300,320
"Euro Stoxx Real Estate",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,4974,4478
