Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Volume,Open_Interest
"1 Month WIBOR",Future,"Interest Rates","Warsaw Stock Exchange",WSE,Poland,Europe,2017,7,2017-7,2,0
"1% Fuel Oil Cargoes CIF MED (Platts) (1W)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,20
"1% Fuel Oil Cargoes FOB NWE (Platts) vs. 3.5% Fuel Oil Barges FOB Rotterdam (Platts) (FS)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,295,1123
"1% Fuel Oil Cargoes FOB NWE (Platts) vs. 3.5% Fuel Oil Barges FOB Rotterdam (Platts) Balance of the Month (88)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,5,5
"1% Fuel Oil Rotterdam (Platts) vs. 1% Fuel Oil NWE (Platts) (33)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,72
"10 Baht Gold",Future,Metals,"Thailand Futures Exchange",TFEX,Thailand,Asia,2017,7,2017-7,242025,49141
"10 Year Canadian Government Bond (CGB)",Future,"Interest Rates","Montreal Exchange",MX,Canada,"North America",2017,7,2017-7,1400790,500764
"10 Year Canadian Government Bond (OGB)",Option,"Interest Rates","Montreal Exchange",MX,Canada,"North America",2017,7,2017-7,0,2199
"10 Year Colombian Government Bond",Future,"Interest Rates","Bolsa de Valores de Colombia",BVC,Colombia,"Latin America",2017,7,2017-7,12293,2790
"10 Year Japan Government Bond",Future,"Interest Rates","Japan Exchange",JPX,Japan,Asia,2017,7,2017-7,543733,97479
"10 Year Japan Government Bond",Option,"Interest Rates","Japan Exchange",JPX,Japan,Asia,2017,7,2017-7,63954,11051
"10 year Russian Federation Government Bond",Future,"Interest Rates","Moscow Exchange",MOEX,Russia,Europe,2017,7,2017-7,72957,27398
"10 Year Standards",Future,"Interest Rates","Eris Exchange",ERIS,"United States","North America",2017,7,2017-7,6341,63464
"10 Year Swedish Government Bond (SGB10)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",OMX,Sweden,Europe,2017,7,2017-7,14278,48210
"10 Year Treasury Bond",Future,"Interest Rates","ASX 24","ASX 24",Australia,Asia,2017,7,2017-7,3053517,983021
"10 Year Treasury Bond ",Future,"Interest Rates","China Financial Futures Exchange",CFFEX,China,Asia,2017,7,2017-7,893450,64133
"10 Year Treasury Bond",Future,"Interest Rates","Korea Exchange",KRX,"South Korea",Asia,2017,7,2017-7,989528,100059
"10 Year Treasury Bond",Option,"Interest Rates","ASX 24","ASX 24",Australia,Asia,2017,7,2017-7,4500,7688
"10 Year Treasury Bond Overnight",Option,"Interest Rates","ASX 24","ASX 24",Australia,Asia,2017,7,2017-7,750,0
"10 Year Treasury Note",Future,"Interest Rates","Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,24476447,3202411
"10 Year Treasury Note",Option,"Interest Rates","Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,10349341,2746803
"10 Year USD Deliverable Interest Rate Swap",Future,"Interest Rates","Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,24470,31201
"100 oz Gold",Future,Metals,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,32,0
"15 Year Russian Federation Government Bond",Future,"Interest Rates","Moscow Exchange",MOEX,Russia,Europe,2017,7,2017-7,56625,42712
"2 Year Colombian Government Bond",Future,"Interest Rates","Bolsa de Valores de Colombia",BVC,Colombia,"Latin America",2017,7,2017-7,2208,827
"2 Year Russian Federation Government Bond",Future,"Interest Rates","Moscow Exchange",MOEX,Russia,Europe,2017,7,2017-7,18986,46338
"2 Year Spintab Bond (SWH2Y)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",OMX,Sweden,Europe,2017,7,2017-7,550,3094
"2 Year Stadshypotek Bond (STH2Y)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",OMX,Sweden,Europe,2017,7,2017-7,5169,12111
"2 Year Standards",Future,"Interest Rates","Eris Exchange",ERIS,"United States","North America",2017,7,2017-7,744,12097
"2 Year Swedish Government Bond (SGB2Y)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",OMX,Sweden,Europe,2017,7,2017-7,20362,44654
"2 Year Treasury Note",Future,"Interest Rates","Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,4794311,1375416
"2 Year Treasury Note",Option,"Interest Rates","Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,64001,34791
"20 Year Treasury Bond",Future,"Interest Rates","ASX 24","ASX 24",Australia,Asia,2017,7,2017-7,27669,25298
"3 Month Canadian Bankers Acceptance (BAX)",Future,"Interest Rates","Montreal Exchange",MX,Canada,"North America",2017,7,2017-7,2169958,921234
"3 Month Canadian Bankers' Acceptance (OBX)",Option,"Interest Rates","Montreal Exchange",MX,Canada,"North America",2017,7,2017-7,74675,165206
"3 Month Euribor",Future,"Interest Rates",CurveGlobal,CG,"United Kingdom",Europe,2017,7,2017-7,118395,56311
"3 Month Euribor",Future,"Interest Rates",Eurex,EUREX,Germany,Europe,2017,7,2017-7,6093,38770
"3 Month Euribor",Future,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,14492599,3719173
"3 Month Euribor",Option,"Interest Rates",Eurex,EUREX,Germany,Europe,2017,7,2017-7,201,418
"3 Month Euribor",Option,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,369647,3722104
"3 Month Euribor 1 Year Mid Curve",Option,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,294622,1292565
"3 Month Euribor 2 Year Mid Curve",Option,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,463493,1152441
"3 Month Euribor 3 Year Mid Curve",Option,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,400351,979587
"3 Month Euribor 4 Year Mid Curve",Option,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,0,3500
"3 Month Euroswiss",Future,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,472921,220002
"3 Month Euroyen",Future,"Interest Rates","Tokyo Financial Exchange",TFX,Japan,Asia,2017,7,2017-7,149021,161691
"3 Month Hibor",Future,"Interest Rates","Hong Kong Exchanges and Clearing",HKEX,"Hong Kong",Asia,2017,7,2017-7,9,48
"3 Month Sterling",Future,"Interest Rates",CurveGlobal,CG,"United Kingdom",Europe,2017,7,2017-7,90523,59964
"3 Month Sterling",Future,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,13682179,2900348
"3 Month Sterling",Option,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,1468888,5073101
"3 Month Sterling 2 Year Mid Curve",Option,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,332354,1107304
"3 Month Sterling 3 Year Mid Curve",Option,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,0,49650
"3 Month Sterling Mid Curve",Option,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,359936,1337331
"3 Month WIBOR",Future,"Interest Rates","Warsaw Stock Exchange",WSE,Poland,Europe,2017,7,2017-7,10,420
"3 Year Standards",Future,"Interest Rates","Eris Exchange",ERIS,"United States","North America",2017,7,2017-7,777,2982
"3 Year Treasury Bond",Future,"Interest Rates","ASX 24","ASX 24",Australia,Asia,2017,7,2017-7,4650524,983025
"3 Year Treasury Bond",Future,"Interest Rates","Korea Exchange",KRX,"South Korea",Asia,2017,7,2017-7,1457276,203474
"3 Year Treasury Bond",Option,"Interest Rates","ASX 24","ASX 24",Australia,Asia,2017,7,2017-7,25878,21500
"3 Year Treasury Bond Intra-Day",Option,"Interest Rates","ASX 24","ASX 24",Australia,Asia,2017,7,2017-7,50238,0
"3 Year Treasury Bond Overnight",Option,"Interest Rates","ASX 24","ASX 24",Australia,Asia,2017,7,2017-7,28950,0
"3.5% Fuel Oil Barges FOB Rotterdam (Platts) Crack Spread (1000 MT) (BOB)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,1113,5036
"3.5% Fuel Oil Barges FOB Rotterdam (Platts) Crack Spread (FO)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,1527,18746
"3.5% Fuel Oil Barges FOB Rotterdam (Platts) Crack Spread Balance of the Month (FCB)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,496,496
"3.5% Fuel Oil Cargoes FOB MED (Platts) vs. 3.5% Fuel Oil Barges FOB Rotterdam (Platts) (FK)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,680,1330
"3.5% Fuel Oil CIF MED (Platts) (7D)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,5,404
"3.5% Fuel Oil Rotterdam vs. 3.5% FOB MED Spread Balance of the Month (63)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,35,35
"30 Day Interbank Cash Rate",Future,"Interest Rates","ASX 24","ASX 24",Australia,Asia,2017,7,2017-7,197537,185263
"30 Year Standards",Future,"Interest Rates","Eris Exchange",ERIS,"United States","North America",2017,7,2017-7,153,1096
"30 Year Treasury Bond",Future,"Interest Rates","Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,4672236,732092
"30 Year Treasury Bond",Option,"Interest Rates","Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,2660257,673786
"30 Year USD Deliverable Interest Rate Swap",Future,"Interest Rates","Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,123,216
"4 Year Russian Federation Government Bond",Future,"Interest Rates","Moscow Exchange",MOEX,Russia,Europe,2017,7,2017-7,14513,26680
"4 Year Standards",Future,"Interest Rates","Eris Exchange",ERIS,"United States","North America",2017,7,2017-7,308,394
"5 Year Canadian Government Bond (CGF)",Future,"Interest Rates","Montreal Exchange",MX,Canada,"North America",2017,7,2017-7,30500,5020
"5 Year China Ministry of Finance Treasury Bond",Future,"Interest Rates","Hong Kong Exchanges and Clearing",HKEX,"Hong Kong",Asia,2017,7,2017-7,1006,704
"5 Year Colombian Government Bond",Future,"Interest Rates","Bolsa de Valores de Colombia",BVC,Colombia,"Latin America",2017,7,2017-7,6345,2333
"5 Year Spintab Bond (SWH5Y)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",OMX,Sweden,Europe,2017,7,2017-7,4455,10376
"5 Year Stadshypotek Bond (STH5Y)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",OMX,Sweden,Europe,2017,7,2017-7,10689,19127
"5 Year Standards",Future,"Interest Rates","Eris Exchange",ERIS,"United States","North America",2017,7,2017-7,16667,66222
"5 Year Swedish Government Bond (SGB5Y)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",OMX,Sweden,Europe,2017,7,2017-7,24738,62306
"5 Year Treasury Bond",Future,"Interest Rates","China Financial Futures Exchange",CFFEX,China,Asia,2017,7,2017-7,239290,57729
"5 Year Treasury Note",Future,"Interest Rates","Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,12784242,2959255
"5 Year Treasury Note",Option,"Interest Rates","Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,1920669,1071797
"5 Year USD Deliverable Interest Rate Swap",Future,"Interest Rates","Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,21815,22641
"5,000 oz Silver",Future,Metals,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,24,22
"50 Baht Gold",Future,Metals,"Thailand Futures Exchange",TFEX,Thailand,Asia,2017,7,2017-7,14357,3521
"6 Year Russian Federation Government Bond",Future,"Interest Rates","Moscow Exchange",MOEX,Russia,Europe,2017,7,2017-7,26936,24846
"7 Year Standards",Future,"Interest Rates","Eris Exchange",ERIS,"United States","North America",2017,7,2017-7,661,8375
"90 Day Bank Bill",Future,"Interest Rates","ASX 24","ASX 24",Australia,Asia,2017,7,2017-7,3175700,980762
"91 Day Government of India (GOI) Treasury Bill",Future,"Interest Rates",BSE,"BSE India",India,Asia,2017,7,2017-7,1067242,6406
"AEX Daily",Option,Equity,"Euronext Derivatives Market",EURONEXT,"United Kingdom",Europe,2017,7,2017-7,197289,3223
"AEX Mini",Future,Equity,"Euronext Derivatives Market",EURONEXT,"United Kingdom",Europe,2017,7,2017-7,1099,31
"AEX Mini",Option,Equity,"Euronext Derivatives Market",EURONEXT,"United Kingdom",Europe,2017,7,2017-7,1607,482
"AEX Stock Index",Option,Equity,"Euronext Derivatives Market",EURONEXT,"United Kingdom",Europe,2017,7,2017-7,671284,252446
"AEX Stock Index (FTI)",Future,Equity,"Euronext Derivatives Market",EURONEXT,"United Kingdom",Europe,2017,7,2017-7,719388,55159
"AEX Weekly",Option,Equity,"Euronext Derivatives Market",EURONEXT,"United Kingdom",Europe,2017,7,2017-7,195548,13322
"Algonquin City-Gates Natural Gas (Platts Gas Daily/Platts IFERC) Index (N7)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,984
"Algonquin City-Gates Natural Gas (Platts IFERC) Basis (B4)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,1068
"All Futures on Individual Equities",Future,Equity,ASX,ASX,Australia,Asia,2017,7,2017-7,71258,512721
"All Futures on Individual Equities",Future,Equity,"Athens Derivatives Exchange",ADEX,Greece,Other,2017,7,2017-7,1287907,502251
"All Futures on Individual Equities",Future,Equity,"Bolsa de Valores de Colombia",BVC,Colombia,"Latin America",2017,7,2017-7,3076,24912
"All Futures on Individual Equities",Future,Equity,"Borsa Istanbul",BIST,Turkey,Other,2017,7,2017-7,1934844,555789
"All Futures on Individual Equities",Future,Equity,"Borsa Italiana (IDEM)",IDEM,Italy,Europe,2017,7,2017-7,132587,298753
"All Futures on Individual Equities",Future,Equity,BSE,"BSE India",India,Asia,2017,7,2017-7,59,7
"All Futures on Individual Equities",Future,Equity,"Budapest Stock Exchange",BSE,Hungary,Europe,2017,7,2017-7,33073,22180
"All Futures on Individual Equities",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,2560319,5728737
"All Futures on Individual Equities",Future,Equity,"Euronext Derivatives Market",EURONEXT,"United Kingdom",Europe,2017,7,2017-7,32727,8155
"All Futures on Individual Equities",Future,Equity,"Hong Kong Exchanges and Clearing",HKEX,"Hong Kong",Asia,2017,7,2017-7,9402,7121
"All Futures on Individual Equities",Future,Equity,"ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,4507792,4987060
"All Futures on Individual Equities",Future,Equity,"India International Exchange",INX,India,Asia,2017,7,2017-7,3752,13
"All Futures on Individual Equities",Future,Equity,"JSE Securities Exchange",JSE,"South Africa",Other,2017,7,2017-7,331025,1244581
"All Futures on Individual Equities",Future,Equity,"Korea Exchange",KRX,"South Korea",Asia,2017,7,2017-7,25485173,2292026
"All Futures on Individual Equities",Future,Equity,MEFF,MEFF,Spain,Europe,2017,7,2017-7,753263,965712
"All Futures on Individual Equities",Future,Equity,"Mexican Derivatives Exchange",MEXDER,Mexico,"Latin America",2017,7,2017-7,0,300
"All Futures on Individual Equities",Future,Equity,"Moscow Exchange",MOEX,Russia,Europe,2017,7,2017-7,16678511,2769740
"All Futures on Individual Equities",Future,Equity,"Nasdaq Exchanges Nordic Markets",OMX,Sweden,Europe,2017,7,2017-7,167487,458455
"All Futures on Individual Equities",Future,Equity,"National Stock Exchange of India",NSE,India,Asia,2017,7,2017-7,16974717,1369565
"All Futures on Individual Equities",Future,Equity,"Taiwan Futures Exchange",TAIFEX,Taiwan,Asia,2017,7,2017-7,1371758,165222
"All Futures on Individual Equities",Future,Equity,"Thailand Futures Exchange",TFEX,Thailand,Asia,2017,7,2017-7,2260229,1538270
"All Futures on Individual Equities",Future,Equity,"Warsaw Stock Exchange",WSE,Poland,Europe,2017,7,2017-7,91867,32092
"All Options on Austrian Equities",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,22492,168754
"All Options on Belgian Equities",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,60958,156236
"All Options on Dutch Equities",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,635201,3601800
"All Options on Exchange Traded Funds",Option,Equity,"Bats Exchange",BATS,"United States","North America",2017,7,2017-7,11707457,NULL
"All Options on Exchange Traded Funds",Option,Equity,"Boston Options Exchange",BOX,"United States","North America",2017,7,2017-7,1685240,NULL
"All Options on Exchange Traded Funds",Option,Equity,"C2 Exchange",C2,"United States","North America",2017,7,2017-7,6718747,NULL
"All Options on Exchange Traded Funds",Option,Equity,"Chicago Board Options Exchange",CBOE,"United States","North America",2017,7,2017-7,19203568,NULL
"All Options on Exchange Traded Funds",Option,Equity,"EDGX Options Exchange",EDGX,"United States","North America",2017,7,2017-7,1603558,NULL
"All Options on Exchange Traded Funds",Option,Equity,"International Securities Exchange",ISE,"United States","North America",2017,7,2017-7,10626712,NULL
"All Options on Exchange Traded Funds",Option,Equity,"International Securities Exchange Gemini","ISE GEMINI","United States","North America",2017,7,2017-7,5209860,NULL
"All Options on Exchange Traded Funds",Option,Equity,"International Securities Exchange Mercury","ISE MERCURY","United States","North America",2017,7,2017-7,94277,NULL
"All Options on Exchange Traded Funds",Option,Equity,"MIAX Options",MIAX,"United States","North America",2017,7,2017-7,5408145,NULL
"All Options on Exchange Traded Funds",Option,Equity,"MIAX Pearl","MIAX PEARL","United States","North America",2017,7,2017-7,2402386,NULL
"All Options on Exchange Traded Funds",Option,Equity,"Nasdaq Boston",BX,"United States","North America",2017,7,2017-7,602790,NULL
"All Options on Exchange Traded Funds",Option,Equity,"Nasdaq Options Market",NOM,"United States","North America",2017,7,2017-7,8936578,NULL
"All Options on Exchange Traded Funds",Option,Equity,"Nasdaq PHLX",PHLX,"United States","North America",2017,7,2017-7,19049419,NULL
"All Options on Exchange Traded Funds",Option,Equity,"NYSE Amex",AMEX,"United States","North America",2017,7,2017-7,11306766,NULL
"All Options on Exchange Traded Funds",Option,Equity,"NYSE Arca",ARCA,"United States","North America",2017,7,2017-7,9040696,NULL
"All Options on Exchange Traded Funds",Option,Equity,OCC,OCC,"United States","North America",2017,7,2017-7,NULL,94212181
"All Options on Finnish Equities",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,325448,2257704
"All Options on French Equities",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,1316945,7409573
"All Options on German Equities",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,5213469,17643149
"All Options on Great Britain Equities",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,8965,23504
"All Options on Individual Equities",Option,Equity,ASX,ASX,Australia,Asia,2017,7,2017-7,7195138,8380017
"All Options on Individual Equities",Option,Equity,"Athens Derivatives Exchange",ADEX,Greece,Other,2017,7,2017-7,2034,2299
"All Options on Individual Equities",Option,Equity,"Bats Exchange",BATS,"United States","North America",2017,7,2017-7,17969630,NULL
"All Options on Individual Equities",Option,Equity,"Bolsa de Valores de Sao Paulo",Bovespa,Brazil,"Latin America",2017,7,2017-7,44207934,19719592
"All Options on Individual Equities",Option,Equity,"Borsa Istanbul",BIST,Turkey,Other,2017,7,2017-7,227451,539188
"All Options on Individual Equities",Option,Equity,"Borsa Italiana (IDEM)",IDEM,Italy,Europe,2017,7,2017-7,1188573,4308622
"All Options on Individual Equities",Option,Equity,"Boston Options Exchange",BOX,"United States","North America",2017,7,2017-7,4919826,NULL
"All Options on Individual Equities",Option,Equity,"C2 Exchange",C2,"United States","North America",2017,7,2017-7,3693753,NULL
"All Options on Individual Equities",Option,Equity,"Chicago Board Options Exchange",CBOE,"United States","North America",2017,7,2017-7,29282493,NULL
"All Options on Individual Equities",Option,Equity,"EDGX Options Exchange",EDGX,"United States","North America",2017,7,2017-7,2118001,NULL
"All Options on Individual Equities",Option,Equity,"Euronext Derivatives Market",EURONEXT,"United Kingdom",Europe,2017,7,2017-7,4244611,13889134
"All options on Individual Equities",Option,Equity,"Hong Kong Exchanges and Clearing",HKEX,"Hong Kong",Asia,2017,7,2017-7,10738883,8606800
"All Options on Individual Equities",Option,Equity,"ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,944460,4911783
"All Options on Individual Equities",Option,Equity,"International Securities Exchange",ISE,"United States","North America",2017,7,2017-7,13739102,NULL
"All Options on Individual Equities",Option,Equity,"International Securities Exchange Gemini","ISE GEMINI","United States","North America",2017,7,2017-7,9491607,NULL
"All Options on Individual Equities",Option,Equity,"International Securities Exchange Mercury","ISE MERCURY","United States","North America",2017,7,2017-7,334793,NULL
"All Options on Individual Equities",Option,Equity,"JSE Securities Exchange",JSE,"South Africa",Other,2017,7,2017-7,330964,2240696
"All Options on Individual Equities",Option,Equity,"Korea Exchange",KRX,"South Korea",Asia,2017,7,2017-7,2010741,205506
"All Options on Individual Equities",Option,Equity,MEFF,MEFF,Spain,Europe,2017,7,2017-7,1301778,8496204
"All Options on Individual Equities",Option,Equity,"Mexican Derivatives Exchange",MEXDER,Mexico,"Latin America",2017,7,2017-7,146784,122068
"All Options on Individual Equities",Option,Equity,"MIAX Options",MIAX,"United States","North America",2017,7,2017-7,9377203,NULL
"All Options on Individual Equities",Option,Equity,"MIAX Pearl","MIAX PEARL","United States","North America",2017,7,2017-7,784280,NULL
"All Options on Individual Equities",Option,Equity,"Montreal Exchange",MX,Canada,"North America",2017,7,2017-7,1605398,2442095
"All Options on Individual Equities",Option,Equity,"Moscow Exchange",MOEX,Russia,Europe,2017,7,2017-7,94914,100876
"All Options on Individual Equities",Option,Equity,"Nasdaq Boston",BX,"United States","North America",2017,7,2017-7,1268854,NULL
"All Options on Individual Equities",Option,Equity,"Nasdaq Exchanges Nordic Markets",OMX,Sweden,Europe,2017,7,2017-7,1763552,3479310
"All Options on Individual Equities",Option,Equity,"Nasdaq Options Market",NOM,"United States","North America",2017,7,2017-7,17311801,NULL
"All Options on Individual Equities",Option,Equity,"Nasdaq PHLX",PHLX,"United States","North America",2017,7,2017-7,27598548,NULL
"All Options on Individual Equities",Option,Equity,"National Stock Exchange of India",NSE,India,Asia,2017,7,2017-7,10583721,292992
"All Options on Individual Equities",Option,Equity,"NYSE Amex",AMEX,"United States","North America",2017,7,2017-7,10013349,NULL
"All Options on Individual Equities",Option,Equity,"NYSE Arca",ARCA,"United States","North America",2017,7,2017-7,15245366,NULL
"All Options on Individual Equities",Option,Equity,OCC,OCC,"United States","North America",2017,7,2017-7,NULL,165157415
"All Options on Individual Equities",Option,Equity,"Oslo Stock Exchange",OSL,Norway,Europe,2017,7,2017-7,249163,417564
"All Options on Individual Equities",Option,Equity,"Taiwan Futures Exchange",TAIFEX,Taiwan,Asia,2017,7,2017-7,15964,5677
"All Options on Individual Equities",Option,Equity,"Tel-Aviv Stock Exchange",TASE,Israel,Other,2017,7,2017-7,71309,68226
"All Options on Individual Equities (Combined)",Option,Equity,"Japan Exchange",JPX,Japan,Asia,2017,7,2017-7,82425,97368
"All Options on Irish Equities",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,284,429
"All Options on Italian Equities",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,292469,2216088
"All Options on Russian Equities",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,7480,24471
"All Options on Spanish Equities",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,403288,2429569
"All Options on Swedish Equities",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,2197,2216
"All Options on Swiss Equities",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,2396373,10557399
"Alumina FOB Australia (Platts) (ALA)",Future,Metals,"Commodity Exchange (COMEX)",COMEX,"United States","North America",2017,7,2017-7,250,250
Aluminium,Future,Metals,"London Metal Exchange",LME,"United Kingdom",Europe,2017,7,2017-7,3704649,848568
"Aluminium Alloy",Future,Metals,"London Metal Exchange",LME,"United Kingdom",Europe,2017,7,2017-7,3647,612
"Aluminium European Premium Duty-Paid (Metal Bulletin) (EDP)",Future,Metals,"Commodity Exchange (COMEX)",COMEX,"United States","North America",2017,7,2017-7,480,7556
"Aluminium European Premium Metal Bulletin (25 MT Duty Unpaid) (AEP)",Future,Metals,"Commodity Exchange (COMEX)",COMEX,"United States","North America",2017,7,2017-7,720,13539
Aluminum,Future,Metals,"Multi Commodity Exchange of India",MCX,India,Asia,2017,7,2017-7,153268,3148
Aluminum,Future,Metals,"Shanghai Futures Exchange",SHFE,China,Asia,2017,7,2017-7,3092286,305817
"Aluminum (ALI)",Future,Metals,"Commodity Exchange (COMEX)",COMEX,"United States","North America",2017,7,2017-7,332,363
"Aluminum Japan Premium (Platts) (MJP)",Future,Metals,"Commodity Exchange (COMEX)",COMEX,"United States","North America",2017,7,2017-7,2654,6720
"Aluminum Mini",Future,Metals,"Multi Commodity Exchange of India",MCX,India,Asia,2017,7,2017-7,290313,5504
"Aluminum MW US Transaction Premium Platts (25 MT) (AUP)",Future,Metals,"Commodity Exchange (COMEX)",COMEX,"United States","North America",2017,7,2017-7,4732,28544
"ANR, Oklahoma Natural Gas (Platts IFERC) Basis (NE)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,2408
"Any-Day Expiry Dollar/Rand",Future,Currencies,"JSE Securities Exchange",JSE,"South Africa",Other,2017,7,2017-7,487354,106709
"Any-Day Expiry Dollar/Rand",Option,Currencies,"JSE Securities Exchange",JSE,"South Africa",Other,2017,7,2017-7,160073,76950
"Arabica Coffee",Future,Agriculture,"Bolsa de Mercadorias & Futuros",BMF,Brazil,"Latin America",2017,7,2017-7,8822,9699
"Arabica Coffee",Option,Agriculture,"Bolsa de Mercadorias & Futuros",BMF,Brazil,"Latin America",2017,7,2017-7,60,481
"Arabica Coffee Rollover",Future,Agriculture,"Bolsa de Mercadorias & Futuros",BMF,Brazil,"Latin America",2017,7,2017-7,326,0
"Argus Gasoline Euro-Bob Oxy Barges NWE Crack Spread (1000 MT) (EOB)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,11,39
"Argus LLS vs. WTI (Argus) Trade Month (E5)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,6155,7934
"Argus Propane (Saudi Aramco) (9N)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,837,879
"Argus Propane Far East Index (7E)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,3541,2409
"Argus Propane Far East Index Balance of the Month (22)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,50,38
"Argus Propane Far East Index vs. European Propane CIF ARA (Argus) (91)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,203,492
"ASX NZ Electricity Base Load Strip OTAHUHU",Future,Energy,"ASX 24","ASX 24",Australia,Asia,2017,7,2017-7,30,0
ATX,Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,1257,23522
ATX,Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,0,225
"ATX five",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,2,1038
