Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Parent_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Date,Volume,Open_Interest
E-mini S&P Health Care Sector,Future,Equity,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,12852,14475
E-mini S&P Industrial Sector,Future,Equity,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,15559,12267
E-mini S&P Materials Sector,Future,Equity,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,4060,7266
E-mini S&P Midcap 400,Future,Equity,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,308005,87130
E-mini S&P Real Estate Select Sector,Future,Equity,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,4133,7110
E-mini S&P Technology Sector,Future,Equity,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,5851,8912
E-mini S&P Utilities Sector,Future,Equity,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,11822,22753
Early Rice (RI),Future,Agriculture,Zhengzhou Commodity Exchange,Zhengzhou Commodity Exchange,ZCE,China,Asia,2017,8,2017-08,8/1/2017,97,15
East-West Fuel Oil Spread (Platts) (EW),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,0,466
East-West Gasoline Spread (Platts-Argus) (EWG),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,2546,3804
East-West Naphtha: Japan C&F vs. Cargoes CIF NWE Spread (Platts) (EWN),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,693,949
Eastern Australia Feed Barley,Future,Agriculture,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,0,102
Eastern Australia Wheat,Future,Agriculture,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,5007,15559
Eastern Australia Wheat,Option,Agriculture,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,0,275
eCFD,Future,Equity,JSE Securities Exchange,JSE Securities Exchange,JSE,South Africa,Other,2017,8,2017-08,8/1/2017,674315,1880974
Egg,Future,Agriculture,Dalian Commodity Exchange,Dalian Commodity Exchange,DCE,China,Asia,2017,8,2017-08,8/1/2017,4038511,174018
EIA Flat Tax On-Highway Diesel (A5),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,96,3480
EIA Flat Tax US Retail Gasoline (JE),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,0,410
El Cert SEK Deferred Settlement Future Forward,Future,Energy,Nasdaq Commodities,Nasdaq,NOC,Sweden,Europe,2017,8,2017-08,8/1/2017,1136,10857
Electricity,Future,Energy,Borsa Italiana (IDEM),London Stock Exchange Group,IDEM,Italy,Europe,2017,8,2017-08,8/1/2017,50,531
Electricity,Future,Energy,SGX,Singapore Exchange,SGX ASIACLEAR,Singapore,Asia,2017,8,2017-08,8/1/2017,128,1009
Electricity (Monthly),Future,Energy,SGX,Singapore Exchange,SGX ASIACLEAR,Singapore,Asia,2017,8,2017-08,8/1/2017,0,2
Electricity Base Load $300 CAP Quarterly NSW (GN),Future,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,405,3066
Electricity Base Load $300 CAP Quarterly QLD (GQ),Future,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,496,3310
Electricity Base Load $300 CAP Quarterly SA (GS),Future,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,17,239
Electricity Base Load $300 CAP Quarterly VIC (GV),Future,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,158,2283
Electricity Base Load $300 Cap Strip RN,Future,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,20,0
Electricity Base Load $300 Cap Strip RQ,Future,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,85,0
Electricity Base Load Monthly VIC EV,Future,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,1,10
Electricity Base Load Quarterly NSW,Future,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,3085,6665
Electricity Base Load Quarterly NSW,Option,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,230,805
Electricity Base Load Quarterly QLD,Future,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,1552,10265
Electricity Base Load Quarterly QLD,Option,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,26,1504
Electricity Base Load Quarterly SA,Future,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,32,1083
Electricity Base Load Quarterly SA,Option,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,10,110
Electricity Base Load Quarterly VIC,Future,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,1968,10976
Electricity Base Load Quarterly VIC,Option,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,293,1382
Electricity Base Load Strip NSW,Future,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,517,0
Electricity Base Load Strip NSW,Option,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,128,1507
Electricity Base Load Strip QLD,Future,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,145,0
Electricity Base Load Strip QLD,Option,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,253,2796
Electricity Base Load Strip SA,Future,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,3,0
Electricity Base Load Strip SA,Option,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,15,15
Electricity Base Load Strip VIC,Future,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,224,0
Electricity Base Load Strip VIC,Option,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,66,2787
Electricity Peak Load Quarterly NSW,Future,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,9,508
Electricity Peak Load Quarterly QLD,Future,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,105,542
Electricity Peak Load Quarterly SA,Future,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,0,27
Electricity Peak Load Quarterly VIC,Future,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,42,730
Electricity Peak Load Strip QLD DQ,Future,Energy,ASX 24,ASX,ASX 24,Australia,Asia,2017,8,2017-08,8/1/2017,10,0
Electricity Price Area Difference Nordic Power Base (Month),Future,Energy,Nasdaq Commodities,Nasdaq,NOC,Sweden,Europe,2017,8,2017-08,8/1/2017,3997,14654
Electricity Price Area Difference Nordic Power Base (Quarter),Future,Energy,Nasdaq Commodities,Nasdaq,NOC,Sweden,Europe,2017,8,2017-08,8/1/2017,1204,10514
Electricity Price Area Difference Nordic Power Base (Week),Future,Energy,Nasdaq Commodities,Nasdaq,NOC,Sweden,Europe,2017,8,2017-08,8/1/2017,109,0
Electricity Price Area Difference Nordic Power Base (Year),Future,Energy,Nasdaq Commodities,Nasdaq,NOC,Sweden,Europe,2017,8,2017-08,8/1/2017,661,7990
Enable Natural Gas (Platts IFERC) Basis (PW),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,0,12552
Energy,Future,Energy,SGX,Singapore Exchange,SGX ASIACLEAR,Singapore,Asia,2017,8,2017-08,8/1/2017,555,1132
EOM E-mini S&P 500 Index,Option,Equity,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,2080680,777597
EOM S&P 500 Index,Option,Equity,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,192110,106161
EOW1 E-mini S&P 500,Option,Equity,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,940366,327874
EOW1 S&P 500,Option,Equity,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,91082,68596
EOW2 E-mini S&P 500,Option,Equity,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,1383549,255947
EOW2 S&P 500,Option,Equity,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,197130,44983
EOW3 E-mini S&P 500,Option,Equity,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,3575196,825107
EOW3 S&P 500,Option,Equity,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,375215,121605
EOW4 E-mini S&P 500,Option,Equity,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,1275028,109048
Equity Can-Do,Future,Equity,JSE Securities Exchange,JSE Securities Exchange,JSE,South Africa,Other,2017,8,2017-08,8/1/2017,58318,301241
Equity Can-Do,Option,Equity,JSE Securities Exchange,JSE Securities Exchange,JSE,South Africa,Other,2017,8,2017-08,8/1/2017,100397,222915
ERCOT Houston 345 kV Hub 5 MW Peak (I1),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,2200,3880
ERCOT Houston 345 KV Hub Real-Time Off-Peak Financial (50 MWh) (HEBQ),Future,Energy,Nasdaq NFX,Nasdaq,NFX,United States,North America,2017,8,2017-08,8/1/2017,6404,6404
ERCOT Houston 345 KV Hub Real-Time Peak Financial (50 MW) (ERHQ),Future,Energy,Nasdaq NFX,Nasdaq,NFX,United States,North America,2017,8,2017-08,8/1/2017,132,384
ERCOT North 345 kV Hub 5 MW Off-Peak (I6),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,21200,21200
ERCOT North 345 kV Hub 5 MW Peak (I5),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,2200,3880
ERCOT North 345 kV Hub Day-Ahead 5 MW Peak Calendar-Day (ERW),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,0,180
ERCOT North 345 KV Hub Real-Time Off-Peak Financial (50 MWH) (NEBQ),Future,Energy,Nasdaq NFX,Nasdaq,NFX,United States,North America,2017,8,2017-08,8/1/2017,8524,5132
ERCOT North 345 KV Hub Real-Time Peak Financial (50 MW) (ERNQ),Future,Energy,Nasdaq NFX,Nasdaq,NFX,United States,North America,2017,8,2017-08,8/1/2017,476,989
Eris CDX HY Credit Index 5Y,Future,Other,ICE Futures U.S.,Intercontinental Exchange,IFUS,United States,North America,2017,8,2017-08,8/1/2017,117,185
Eris CDX IG Credit Index 5Y,Future,Other,ICE Futures U.S.,Intercontinental Exchange,IFUS,United States,North America,2017,8,2017-08,8/1/2017,1074,1450
ERIS Standard EUR 2 Year 0.00% Interest Rate,Future,Interest Rates,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,430,559
ERIS Standard EUR 2 Year 0.50% Interest Rate,Future,Interest Rates,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,280,520
ERIS Standard EUR 5 Year 0.25% Interest Rate,Future,Interest Rates,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,30,300
ERIS Standard GBP 10 Year 1.75% Interest Rate,Future,Interest Rates,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,600,340
ERIS Standard GBP 3 Year 0.75% Interest Rate,Future,Interest Rates,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,980,470
ETFs,Option,Equity,Montreal Exchange,TMX Group,MX,Canada,North America,2017,8,2017-08,8/1/2017,975081,1682270
Ethanol,Future,Energy,Chicago Board of Trade,CME Group,CBOT,United States,North America,2017,8,2017-08,8/1/2017,9114,1708
Ethanol T2 FOB Rotterdam Including Duty (Platts) (Z1),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,2782,5172
EU Wheat,Future,Agriculture,Chicago Board of Trade,CME Group,CBOT,United States,North America,2017,8,2017-08,8/1/2017,8320,586
EU Wheat,Option,Agriculture,Chicago Board of Trade,CME Group,CBOT,United States,North America,2017,8,2017-08,8/1/2017,0,100
EUA,Future,Other,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,362434,1142191
EUA,Option,Other,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,41925,129637
EUA Phase 3 Daily,Future,Other,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,43063,0
EUA UK Auction,Future,Other,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,8544,0
EUAA,Future,Other,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,0,25
EUR/CHF,Future,Currencies,Budapest Stock Exchange,CEE Stock Exchange Group,BSE,Hungary,Europe,2017,8,2017-08,8/1/2017,1000,1100
EUR/CNH,Future,Currencies,Singapore Exchange,Singapore Exchange,SGX,Singapore,Asia,2017,8,2017-08,8/1/2017,787,25
EUR/CZK,Future,Currencies,Budapest Stock Exchange,CEE Stock Exchange Group,BSE,Hungary,Europe,2017,8,2017-08,8/1/2017,0,700
EUR/GBP,Future,Currencies,Budapest Stock Exchange,CEE Stock Exchange Group,BSE,Hungary,Europe,2017,8,2017-08,8/1/2017,2337,300
EUR/GBP,Option,Currencies,North American Derivative Exchange,North American Derivative Exchange,NADEX,United States,North America,2017,8,2017-08,8/1/2017,6713,
EUR/GBP (European Style),Option,Currencies,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,0,26
EUR/HUF,Future,Currencies,Budapest Stock Exchange,CEE Stock Exchange Group,BSE,Hungary,Europe,2017,8,2017-08,8/1/2017,89222,193912
EUR/HUF,Option,Currencies,Budapest Stock Exchange,CEE Stock Exchange Group,BSE,Hungary,Europe,2017,8,2017-08,8/1/2017,0,700
EUR/Indian Rupee,Future,Currencies,Metropolitan Stock Exchange of India,Metropolitan Stock Exchange of India,MSEI,India,Asia,2017,8,2017-08,8/1/2017,4506,736
EUR/INR,Future,Currencies,BSE,BSE,BSE India,India,Asia,2017,8,2017-08,8/1/2017,111831,7028
EUR/JPY,Future,Currencies,Budapest Stock Exchange,CEE Stock Exchange Group,BSE,Hungary,Europe,2017,8,2017-08,8/1/2017,5000,2900
EUR/JPY,Option,Currencies,North American Derivative Exchange,North American Derivative Exchange,NADEX,United States,North America,2017,8,2017-08,8/1/2017,23423,
EUR/NOK,Future,Currencies,Budapest Stock Exchange,CEE Stock Exchange Group,BSE,Hungary,Europe,2017,8,2017-08,8/1/2017,0,500
EUR/PLN,Future,Currencies,Budapest Stock Exchange,CEE Stock Exchange Group,BSE,Hungary,Europe,2017,8,2017-08,8/1/2017,1200,1600
EUR/RUB,Future,Currencies,Budapest Stock Exchange,CEE Stock Exchange Group,BSE,Hungary,Europe,2017,8,2017-08,8/1/2017,50,150
EUR/RUB,Future,Currencies,Moscow Exchange,Moscow Exchange,MOEX,Russia,Europe,2017,8,2017-08,8/1/2017,2298512,115144
EUR/RUB,Option,Currencies,Moscow Exchange,Moscow Exchange,MOEX,Russia,Europe,2017,8,2017-08,8/1/2017,10418,38110
EUR/TRY,Future,Currencies,Budapest Stock Exchange,CEE Stock Exchange Group,BSE,Hungary,Europe,2017,8,2017-08,8/1/2017,2894,13610
EUR/USD,Future,Currencies,Budapest Stock Exchange,CEE Stock Exchange Group,BSE,Hungary,Europe,2017,8,2017-08,8/1/2017,29065,44153
EUR/USD,Future,Currencies,Moscow Exchange,Moscow Exchange,MOEX,Russia,Europe,2017,8,2017-08,8/1/2017,5163963,321170
EUR/USD,Option,Currencies,Moscow Exchange,Moscow Exchange,MOEX,Russia,Europe,2017,8,2017-08,8/1/2017,584,1160
EUR/USD,Option,Currencies,North American Derivative Exchange,North American Derivative Exchange,NADEX,United States,North America,2017,8,2017-08,8/1/2017,180372,
EUR/USD FX (XEF),Future,Currencies,Taiwan Futures Exchange,Taiwan Futures Exchange,TAIFEX,Taiwan,Asia,2017,8,2017-08,8/1/2017,8529,1509
EUR/USD Premium Quoted (European Style) – 2 PM Fix,Option,Currencies,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,1073610,375909
Euribor 3 Year 0.00% Interest Rate,Future,Interest Rates,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,558,941
Euro,Future,Currencies,B3,B3,B3,Brazil,Latin America,2017,8,2017-08,8/1/2017,65235,29106
Euro,Future,Currencies,Dubai Gold & Commodities Exchange,Dubai Gold & Commodities Exchange,DGCX,United Arab Emirates,Asia,2017,8,2017-08,8/1/2017,32078,1561
Euro,Future,Currencies,Korea Exchange,Korea Exchange,KRX,South Korea,Asia,2017,8,2017-08,8/1/2017,66500,39409
Euro FX,Future,Currencies,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,4681034,465272
Euro FX (European Style),Option,Currencies,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,90,125
Euro Stoxx,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,12443,21604
Euro Stoxx 50 Ex-Financials Index,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,38,3590
Euro Stoxx 50 Index,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,20024035,3595027
Euro Stoxx 50 Index,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,20202728,34247791
Euro Stoxx 50 Index (USD) (FESQ),Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,1,20331
Euro Stoxx 50 Index - 1st Friday,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,573828,223365
Euro Stoxx 50 Index - 2nd Friday,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,239187,49276
Euro Stoxx 50 Index - 4th Friday,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,382006,17089
Euro Stoxx 50 Index - 5th Friday,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,11783,12781
Euro Stoxx 50 Index Dividend,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,308452,846899
Euro Stoxx 50 Index Dividend,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,31157,1187110
Euro Stoxx 50 Index Total Return (TESX),Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,47930,160207
Euro Stoxx Automobiles & Parts,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,3704,5241
Euro Stoxx Automobiles & Parts,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,480,837
Euro Stoxx Banks,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,2764591,1170215
Euro Stoxx Banks,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,1520523,4171722
Euro Stoxx Banks Index Dividend,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,3250,15674
Euro Stoxx Basic Resources,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,1221,2869
Euro Stoxx Basic Resources,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,40,60
Euro Stoxx Chemicals,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,253,651
Euro Stoxx Chemicals,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,3,0
Euro Stoxx Construction & Materials,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,237,507
Euro Stoxx Financial Services,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,14,80
Euro Stoxx Food and Beverage,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,506,377
Euro Stoxx Food and Beverage,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,0,13
Euro Stoxx Healthcare,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,456,702
Euro Stoxx Industrial Goods & Services,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,242,646
Euro Stoxx Industrial Goods & Services,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,10,20
Euro Stoxx Insurance,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,8220,7715
Euro Stoxx Insurance,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,5233,21173
Euro Stoxx Large,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,198,244
Euro Stoxx Media,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,1521,580
Euro Stoxx Mid,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,8312,35039
Euro Stoxx Mid,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,0,300
Euro Stoxx Oil & Gas,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,12791,12482
Euro Stoxx Oil & Gas,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,4431,10143
Euro Stoxx Oil Gas Index Dividend,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,0,530
Euro Stoxx Personal & Household Goods,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,234,373
Euro Stoxx Personal & Household Goods,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,140,460
Euro Stoxx Real Estate,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,785,4219
Euro Stoxx Real Estate (OESL),Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,0,2632
Euro Stoxx Retail,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,129,333
Euro Stoxx Select Dividend 30 Index,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,6500,28781
Euro Stoxx Select Dividend 30 Index,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,5000,129930
Euro Stoxx Select Dividend 30 Index Dividend,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,0,6294
Euro Stoxx Small,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,7878,11850
Euro Stoxx Technology,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,471,1480
Euro Stoxx Technology,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,225,495
Euro Stoxx Telecommunications,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,4633,3494
Euro Stoxx Telecommunications,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,0,431
Euro Stoxx Travel & Leisure,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,453,192
Euro Stoxx Utilities,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,18479,19421
Euro Stoxx Utilities,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,7697,24886
Euro-Bobl,Future,Interest Rates,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,7936126,1482550
Euro-Bobl,Option,Interest Rates,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,788849,456417
Euro-Bono,Future,Interest Rates,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,6610,5390
Euro-BTP,Future,Interest Rates,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,1627068,373684
Euro-Bund,Future,Interest Rates,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,12607932,1888491
Euro-Bund,Option,Interest Rates,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,3320066,945199
Euro-Buxl,Future,Interest Rates,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,888604,233731
Euro-OAT,Future,Interest Rates,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,2400569,588854
Euro-OAT,Option,Interest Rates,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,6025,5200
Euro-Schatz,Future,Interest Rates,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,5657174,1511198
Euro-Schatz,Option,Interest Rates,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,752751,567875
Euro/Australian Dollar,Future,Currencies,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,1040,1406
Euro/Australian Dollar,Future,Currencies,Tokyo Financial Exchange,Tokyo Financial Exchange,TFX,Japan,Asia,2017,8,2017-08,8/1/2017,8246,4151
Euro/Australian Dollar 125,Future,Currencies,ICE Futures U.S.,Intercontinental Exchange,IFUS,United States,North America,2017,8,2017-08,8/1/2017,801,316
Euro/British Pound,Future,Currencies,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,57218,35131
Euro/British Pound,Future,Currencies,Tokyo Financial Exchange,Tokyo Financial Exchange,TFX,Japan,Asia,2017,8,2017-08,8/1/2017,3707,2091
