Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Parent_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Date,Volume,Open_Interest
Los Angeles CARB Diesel (OPIS) vs. NY Harbor ULSD (KL),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,450,375
Los Angeles CARBOB Gasoline (OPIS) vs. RBOB Gasoline (JL),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,325,200
Los Angeles Jet (OPIS) vs. NY Harbor ULSD (JS),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,3275,3205
Low Sulphur Gasoil Crack Spread (1000 MT) Financial (GOC),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,15,65
Low Sulphur Gasoil Financial (GOQ),Future,Energy,Nasdaq NFX,Nasdaq,NFX,United States,North America,2017,8,2017-08,8/1/2017,966875,1626
Low Sulphur Gasoil Mini Financial (QA),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,188,432
Maize,Future,Agriculture,National Commodity & Derivatives Exchange,National Commodity & Derivatives Exchange,NCDEX,India,Asia,2017,8,2017-08,8/1/2017,4390,1068
Malaysian Palm Oil Calendar Swap,Future,Agriculture,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,5192,27188
Mars (Argus) vs WTI Trade Month Average Price (YVO),Option,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,750,750
Mars (Argus) vs. WTI Financial (YX),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,3400,11608
Mars (Argus) vs. WTI Trade Month (YV),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,11890,14224
Maxi Dollar/Rand,Future,Currencies,JSE Securities Exchange,JSE Securities Exchange,JSE,South Africa,Other,2017,8,2017-08,8/1/2017,130200,95400
MDAX,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,10665,7505
MDAX,Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,132,568
Medium Gilt,Future,Interest Rates,ICE Futures Europe,Intercontinental Exchange,IFEU,United Kingdom,Europe,2017,8,2017-08,8/1/2017,1664,837
Medium Term Bond,Future,Interest Rates,Warsaw Stock Exchange,Warsaw Stock Exchange,WSE,Poland,Europe,2017,8,2017-08,8/1/2017,250,450
Mentha Oil,Future,Agriculture,Multi Commodity Exchange of India,Multi Commodity Exchange of India,MCX,India,Asia,2017,8,2017-08,8/1/2017,102384,5621
Merval Stock Index,Future,Equity,Rosario Futures Exchange,Rosario Futures Exchange,ROFEX,Argentina,Latin America,2017,8,2017-08,8/1/2017,48431,5271
Merval Stock Index,Option,Equity,Rosario Futures Exchange,Rosario Futures Exchange,ROFEX,Argentina,Latin America,2017,8,2017-08,8/1/2017,152,108
Methanol (MA),Future,Other,Zhengzhou Commodity Exchange,Zhengzhou Commodity Exchange,ZCE,China,Asia,2017,8,2017-08,8/1/2017,10043035,381663
Mexican Peso,Future,Currencies,B3,B3,B3,Brazil,Latin America,2017,8,2017-08,8/1/2017,4646,1550
Mexican Peso,Future,Currencies,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,812852,242163
Mexican Peso,Option,Currencies,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,235,784
Mexican Peso/Euro,Future,Currencies,Mexican Derivatives Exchange,BMV Group,MEXDER,Mexico,Latin America,2017,8,2017-08,8/1/2017,2,29
Mexican Peso/US Dollar,Future,Currencies,ICE Futures U.S.,Intercontinental Exchange,IFUS,United States,North America,2017,8,2017-08,8/1/2017,40,57
Mexican Peso/US Dollar,Future,Currencies,Mexican Derivatives Exchange,BMV Group,MEXDER,Mexico,Latin America,2017,8,2017-08,8/1/2017,362245,936778
Mexican Peso/US Dollar,Option,Currencies,Mexican Derivatives Exchange,BMV Group,MEXDER,Mexico,Latin America,2017,8,2017-08,8/1/2017,4030,7790
MICEX Index,Future,Equity,Moscow Exchange,Moscow Exchange,MOEX,Russia,Europe,2017,8,2017-08,8/1/2017,424063,17074
MICEX Index,Option,Equity,Moscow Exchange,Moscow Exchange,MOEX,Russia,Europe,2017,8,2017-08,8/1/2017,25,728
MICEX Index (mini),Future,Equity,Moscow Exchange,Moscow Exchange,MOEX,Russia,Europe,2017,8,2017-08,8/1/2017,807708,30384
MICEX Index (mini),Option,Equity,Moscow Exchange,Moscow Exchange,MOEX,Russia,Europe,2017,8,2017-08,8/1/2017,9401,14658
MichCon Natural Gas (Platts IFERC) Basis (NF),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,0,7553
Micro CAD/USD,Future,Currencies,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,24740,3179
Micro CHF/USD,Future,Currencies,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,1023,184
Micro JPY/USD,Future,Currencies,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,30881,2249
Mid Term Euro-OAT,Future,Interest Rates,Eurex,Eurex,EUREX,Germany,Europe,2017,8,2017-08,8/1/2017,6,4
Midi BFP Milk,Option,Agriculture,Chicago Mercantile Exchange,CME Group,CME,United States,North America,2017,8,2017-08,8/1/2017,0,326
Milling Wheat,Future,Agriculture,Euronext Derivatives Market,Euronext,EURONEXT,United Kingdom,Europe,2017,8,2017-08,8/1/2017,962399,347251
Milling Wheat,Option,Agriculture,Euronext Derivatives Market,Euronext,EURONEXT,United Kingdom,Europe,2017,8,2017-08,8/1/2017,89363,188487
Mini 1% Fuel Oil Cargoes FOB MED (Platts) (MFD),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,0,38
Mini 10 Year Japan Government Bond,Future,Interest Rates,Japan Exchange,Japan Exchange,JPX,Japan,Asia,2017,8,2017-08,8/1/2017,89,98
Mini 3.5% Fuel Oil Cargoes FOB MED (Platts) Financial (MMF),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,12,95
Mini Argus Propane (Saudi Aramco) (MAS),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,30,30
Mini Argus Propane Far East Index (MAE),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,70,90
Mini Brent Crude (100 BBL),Future,Energy,ICE Futures Singapore,ICE Futures Singapore,IFSG,Singapore,Asia,2017,8,2017-08,8/1/2017,237897,3492
Mini Corn,Future,Agriculture,Chicago Board of Trade,CME Group,CBOT,United States,North America,2017,8,2017-08,8/1/2017,9675,5710
Mini DJ Industrial Index,Option,Equity,Chicago Board of Trade,CME Group,CBOT,United States,North America,2017,8,2017-08,8/1/2017,6729,7095
Mini Dubai Crude Oil (Platts) (DBL),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,475,325
Mini Euro,Future,Currencies,B3,B3,B3,Brazil,Latin America,2017,8,2017-08,8/1/2017,49,6
Mini European 1% Fuel Oil Barges FOB Rotterdam (Platts) (T0),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,0,410
Mini European 1% Fuel Oil Cargoes FOB NWE (Platts) (0B),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,20,20
Mini European 3.5% Fuel Oil Barges FOB Rotterdam (Platts) (0D),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,2105,6870
Mini European 3.5% Fuel Oil Barges FOB Rotterdam (Platts) Balance of the Month (0E),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,125,125
Mini European Diesel 10 PPM Barges FOB Rotterdam (Platts) vs. Low Sulphur Gasoil (MUD),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,138,374
Mini European Jet Kero Cargoes CIF NWE (Platts) vs. Low Sulphur Gasoil (MJC),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,20,455
