Exchange_Name,Reported_Instrument_Name,Report_Month_Name,Report_Year,Report_Year_Month,Volume,Open_Interest
Chicago Board Options Exchange,13 Week Interest Rate (IRX),August,2007,2007-08,19,
Chicago Board of Trade,$25 Dow Jones Industrial Index,December,2011,2011-12,18,
Chicago Board Options Exchange,10 Year Interest Rate (TNX),December,2008,2008-12,18,
Chicago Board of Trade,7 Year Interest Rate Swap,April,2012,2012-04,18,
Nyse Liffe U.S.,"5,000 oz. Silver",March,2012,2012-03,18,
Minneapolis Grain Exchange,Barley,June,1997,1997-06,17,
Minneapolis Grain Exchange,Apple Juice Concentrate,August,2012,2012-08,17,
Chicago Board Options Exchange,10 Year Interest Rate (TNX),December,2010,2010-12,17,
Chicago Board Options Exchange,30 Year Interest Rate (TYX),June,2009,2009-06,17,
Nyse Liffe U.S.,"5,000 oz. Silver",February,2010,2010-02,17,
Chicago Mercantile Exchange,Boneless Beef Trimmings,July,1998,1998-07,16,
Minneapolis Grain Exchange,Apple Juice Concentrate,October,2012,2012-10,16,
New York Board of Trade,BFP Milk,July,2000,2000-07,16,
New York Board of Trade,BFP Milk,June,2000,2000-06,16,
New York Mercantile Exchange,California Oregon Border Electricity,October,2000,2000-10,16,
Chicago Mercantile Exchange,British Pound/Japanese Yen,April,2003,2003-04,16,
Chicago Mercantile Exchange,British Pound/Japanese Yen,November,2003,2003-11,16,
Chicago Mercantile Exchange,British Pound/Japanese Yen,July,2006,2006-07,16,
Eurex,Butter Futures,July,2011,2011-07,16,
Chicago Board of Trade,$25 Dow Jones Industrial Index,September,2011,2011-09,15,
Chicago Mercantile Exchange,British Pound/Japanese Yen,November,2007,2007-11,15,
Chicago Mercantile Exchange,British Pound/Japanese Yen,December,2007,2007-12,15,
Chicago Mercantile Exchange,British Pound/Japanese Yen,February,2006,2006-02,15,
Chicago Board Options Exchange,13 Week Interest Rate (IRX),January,2010,2010-01,15,
New York Mercantile Exchange,Australian Coke Coal (ALW),March,2012,2012-03,15,
Budapest Stock Exchange,Ammonium Nitrate,October,2008,2008-10,15,
Budapest Commodity Exchange,BL-55 Flour,August,1995,1995-08,15,
Singapore International Monetary Exchange,Brent Crude,March,2001,2001-03,15,
Chicago Mercantile Exchange,Boneless Beef Trimmings,January,1998,1998-01,14,
Chicago Board of Trade,$25 Dow Jones Industrial Index,November,2011,2011-11,14,
Chicago Board of Trade,$25 Dow Jones Industrial Index,May,2011,2011-05,14,
Chicago Mercantile Exchange,British Pound/Japanese Yen,March,2003,2003-03,14,
Chicago Board of Trade,"5,000 oz. Silver",June,2006,2006-06,14,
Eurex,Butter Futures,June,2011,2011-06,14,
Minneapolis Grain Exchange,Apple Juice Concentrate,September,2012,2012-09,13,
Chicago Board of Trade,$25 Dow Jones Industrial Index,July,2011,2011-07,13,
Chicago Board of Trade,$25 Dow Jones Industrial Index,February,2011,2011-02,13,
Nyse Liffe U.S.,"5,000 oz. Silver",March,2010,2010-03,13,
New York Board of Trade,BFP Milk,August,2000,2000-08,12,
New York Mercantile Exchange,1% Fuel Oil (Platts) Cargoes FOB MED BALMO Swap (FOM),April,2012,2012-04,12,
Chicago Mercantile Exchange,British Pound/Japanese Yen,November,2005,2005-11,12,
Chicago Board Options Exchange,13 Week Interest Rate (IRX),July,2008,2008-07,12,
Montreal Exchange,Banking Index (SXB),January,2004,2004-01,12,
Montreal Exchange,Banking Index (SXB),October,2005,2005-10,12,
Chicago Board Options Exchange,10 Year Interest Rate (TNX),November,2009,2009-11,11,
Eurex,Butter Futures,September,2011,2011-09,11,
Minneapolis Grain Exchange,Barley,September,1997,1997-09,10,
New York Board of Trade,BFP Milk,April,2000,2000-04,10,
