Exchange_Name,Reported_Instrument_Name,Report_Month_Name,Report_Year,Report_Year_Month,Volume,Open_Interest
Nyse Liffe U.S.,"5,000 oz. Silver",November,2009,2009-11,11135,
New York Mercantile Exchange,California Oregon Border Electricity,July,1998,1998-07,11129,
Eurex US,2 Year Treasury Note,October,2004,2004-10,11114,
Chicago Mercantile Exchange,5 Year SWAP,June,2003,2003-06,11095,
New York Mercantile Exchange,Brent Crude Oil Average Price (BA),October,2009,2009-10,11070,
Singapore International Monetary Exchange,Brent Crude,October,1995,1995-10,11048,
Nyse Liffe U.S.,"5,000 oz. Silver",April,2010,2010-04,10977,
Nyse Liffe U.S.,"5,000 oz. Silver",August,2009,2009-08,10948,
ICE Futures Europe,Brent Crude Oil Options,July,2007,2007-07,10914,
Chicago Mercantile Exchange,90 Day T-Bills,October,1996,1996-10,10835,
ICE Futures Europe,Brent Crude Oil Options,January,2007,2007-01,10698,
Nyse Liffe U.S.,"5,000 oz. Silver",July,2010,2010-07,10674,
New York Mercantile Exchange,California Oregon Border Electricity,May,1997,1997-05,10638,
Chicago Mercantile Exchange,90 Day T-Bills,January,1997,1997-01,10603,
Chicago Board of Trade,Binary,January,2007,2007-01,10552,
Euronext Brussels,Bel 20 Index,June,1994,1994-06,10526,
Chicago Mercantile Exchange,5 Year Swap,June,2004,2004-06,10500,
New York Mercantile Exchange,California Oregon Border Electricity,April,1997,1997-04,10487,
International Petroleum Exchange,Brent Crude Oil Options,February,2003,2003-02,10457,
Chicago Mercantile Exchange,90 Day T-Bills,November,1996,1996-11,10397,
Chicago Board of Trade,"5,000 oz. Silver",October,2005,2005-10,10161,
Nyse Liffe U.S.,"5,000 oz. Silver",September,2010,2010-09,10100,
Chicago Board of Trade,Binary,April,2007,2007-04,10046,
Chicago Mercantile Exchange,5 Year Swap,September,2006,2006-09,10035,
National Commodity & Derivatives Exchange,Barley,July,2010,2010-07,9955,
New York Mercantile Exchange,Brent Crude Oil Average Price (BA),September,2008,2008-09,9824,
Nyse Liffe U.S.,"5,000 oz. Silver",December,2008,2008-12,9665,
Euronext Paris,CAC 40 1 Euro,June,1999,1999-06,9620,
Chicago Mercantile Exchange,5 Year SWAP,December,2003,2003-12,9551,
Chicago Mercantile Exchange,90 Day T-Bills,April,1998,1998-04,9470,
Chicago Mercantile Exchange,90 Day T-Bills,May,1998,1998-05,9394,
Singapore International Monetary Exchange,Brent Crude,January,1996,1996-01,9391,
Euronext Brussels,Bel 20 Index,April,1994,1994-04,9386,
ICE Futures Europe,Brent Crude Oil Options,July,2005,2005-07,9341,
Nyse Liffe U.S.,"5,000 oz. Silver",April,2009,2009-04,9255,
Multi Commodity Exchange of India,Barley,August,2010,2010-08,9193,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,August,2000,2000-08,9192,
Nyse Liffe U.S.,"5,000 oz. Silver",June,2010,2010-06,9184,
Singapore International Monetary Exchange,Brent Crude,February,1996,1996-02,9053,
Singapore International Monetary Exchange,Brent Crude,December,1995,1995-12,9000,
New York Mercantile Exchange,Brent Crude Oil Average Price (BA),April,2009,2009-04,8992,
ICE Futures Europe,Brent Crude Oil Options,December,2006,2006-12,8894,
Euronext Brussels,Bel 20 Index,March,1994,1994-03,8872,
Nyse Liffe U.S.,"5,000 oz. Silver",January,2009,2009-01,8836,
Chicago Mercantile Exchange,5 Year Swap,March,2008,2008-03,8760,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,April,2002,2002-04,8705,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,October,2000,2000-10,8668,
Euronext Brussels,Bel 20 Index,August,1994,1994-08,8624,
New York Mercantile Exchange,Brent Crude Oil Average Price (BA),April,2010,2010-04,8601,
Euronext Brussels,Bel 20 Index,January,1994,1994-01,8595,
Nyse Liffe U.S.,"5,000 oz. Silver",March,2009,2009-03,8582,
Singapore International Monetary Exchange,Brent Crude,July,1995,1995-07,8533,
National Commodity & Derivatives Exchange,Barley,February,2007,2007-02,8517,
Nyse Liffe U.S.,"5,000 oz. Silver",July,2009,2009-07,8396,
Euronext Brussels,Bel 20 Index,February,1994,1994-02,8327,
New York Mercantile Exchange,California Oregon Border Electricity,November,1997,1997-11,8192,
Chicago Mercantile Exchange,5 Year Swap,June,2008,2008-06,8160,
International Petroleum Exchange,Brent Crude Oil Options,December,2001,2001-12,8135,
New York Mercantile Exchange,Brent Crude Oil Average Price (BA),June,2009,2009-06,8065,
Chicago Mercantile Exchange,5 Year Swap,March,2005,2005-03,8050,
Singapore International Monetary Exchange,Brent Crude,November,1995,1995-11,8016,
Chicago Mercantile Exchange,5 Year Swap,March,2004,2004-03,7864,
Chicago Mercantile Exchange,5 Year Swap,September,2007,2007-09,7860,
Chicago Mercantile Exchange,5 Year Swap,December,2007,2007-12,7860,
National Commodity & Derivatives Exchange,Barley,August,2009,2009-08,7857,
National Commodity & Derivatives Exchange,Barley,June,2011,2011-06,7773,
ICE Futures Europe,Brent Crude Oil Options,November,2006,2006-11,7736,
Chicago Mercantile Exchange,5 Year Swap,June,2005,2005-06,7735,
New York Mercantile Exchange,California Oregon Border Electricity,October,1998,1998-10,7704,
Nyse Liffe U.S.,"5,000 oz. Silver",February,2010,2010-02,7660,
New York Mercantile Exchange,Brent Crude Oil Average Price (BA),July,2009,2009-07,7650,
Nyse Liffe U.S.,"5,000 oz. Silver",October,2009,2009-10,7639,
Chicago Mercantile Exchange,90 Day T-Bills,August,1998,1998-08,7629,
Singapore International Monetary Exchange,Brent Crude,January,1997,1997-01,7592,
Euronext Brussels,Bel 20 Index,May,1994,1994-05,7589,
Nyse Liffe U.S.,"5,000 oz. Silver",October,2010,2010-10,7560,
Chicago Mercantile Exchange,90 Day T-Bills,June,1998,1998-06,7558,
Nyse Liffe U.S.,"5,000 oz. Silver",September,2009,2009-09,7554,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,July,2002,2002-07,7551,
Chicago Mercantile Exchange,5 Year Swap,December,2006,2006-12,7535,
Chicago Mercantile Exchange,5 Year Swap,September,2004,2004-09,7490,
Chicago Mercantile Exchange,5 Year Swap,February,2007,2007-02,7450,
Chicago Board of Trade,"5,000 oz. Silver",June,2005,2005-06,7449,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,November,2000,2000-11,7441,
Singapore International Monetary Exchange,Brent Crude,October,1996,1996-10,7421,
Singapore International Monetary Exchange,Brent Crude,September,1996,1996-09,7411,
Chicago Board of Trade,"5,000 oz. Silver",August,2005,2005-08,7379,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,March,2001,2001-03,7342,
Nyse Liffe U.S.,"5,000 oz. Silver",April,2011,2011-04,7341,
New York Mercantile Exchange,California Oregon Border Electricity,August,1998,1998-08,7340,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,June,2001,2001-06,7311,
National Commodity & Derivatives Exchange,Barley,September,2010,2010-09,7301,
Nyse Liffe U.S.,"5,000 oz. Silver",May,2009,2009-05,7287,
New York Mercantile Exchange,California Oregon Border Electricity,August,1997,1997-08,7266,
National Commodity & Derivatives Exchange,Barley,July,2007,2007-07,7181,
International Petroleum Exchange,Brent Crude Oil Options,July,2002,2002-07,7156,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,January,2002,2002-01,7131,
ICE Futures Europe,Brent Crude Oil Options,May,2007,2007-05,7095,
NYSE Amex,Airline Index,April,1998,1998-04,7059,
Nyse Liffe U.S.,"5,000 oz. Silver",December,2010,2010-12,7034,
Chicago Board of Trade,Binary,March,2007,2007-03,6976,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,December,2000,2000-12,6959,
New York Mercantile Exchange,California Oregon Border Electricity,November,1998,1998-11,6943,
New York Mercantile Exchange,California Oregon Border Electricity,April,1996,1996-04,6924,
Nasdaq OMX Commodities,Carbon EUA,January,2012,2012-01,6883,
Chicago Mercantile Exchange,5 Year Swap,February,2006,2006-02,6860,
Chicago Mercantile Exchange,Asian Seasonal Strip,April,2008,2008-04,6800,
Multi Commodity Exchange of India,Barley,June,2010,2010-06,6763,
Chicago Mercantile Exchange,90 Day T-Bills,December,1999,1999-12,6761,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,June,2002,2002-06,6759,
Eurex US,2 Year Treasury Note,August,2004,2004-08,6734,
New York Mercantile Exchange,Brent Crude Oil Average Price (BA),December,2012,2012-12,6711,
New York Mercantile Exchange,Brent Crude Oil Average Price (BA),January,2010,2010-01,6705,
New York Mercantile Exchange,Argus LLS vs. WTI (Arg) T (E5),September,2011,2011-09,6673,
Chicago Board of Trade,"5,000 oz. Silver",September,2005,2005-09,6669,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,October,2001,2001-10,6656,
National Commodity & Derivatives Exchange,Barley,October,2010,2010-10,6624,
New York Mercantile Exchange,California Oregon Border Electricity,June,1999,1999-06,6606,
New York Mercantile Exchange,California Oregon Border Electricity,June,1996,1996-06,6590,
New York Mercantile Exchange,California Oregon Border Electricity,December,1996,1996-12,6584,
National Commodity & Derivatives Exchange,Barley,May,2008,2008-05,6569,
Chicago Board of Trade,2 Year Treasury Note,December,2005,2005-12,6563,
National Commodity & Derivatives Exchange,Barley,November,2009,2009-11,6535,
National Commodity & Derivatives Exchange,Barley,July,2011,2011-07,6511,
Chicago Mercantile Exchange,5 Year SWAP,September,2002,2002-09,6500,
Chicago Mercantile Exchange,90 Day T-Bills,March,1999,1999-03,6499,
International Petroleum Exchange,Brent Crude Oil Options,December,2002,2002-12,6498,
Singapore International Monetary Exchange,Brent Crude,March,1996,1996-03,6496,
New York Board of Trade,Australian Dollar/New Zealand,May,2004,2004-05,6494,
Chicago Mercantile Exchange,5 Year Swap,September,2005,2005-09,6450,
Chicago Board of Trade,7 Year Interest Rate Swap,June,2010,2010-06,6438,
New York Board of Trade,Australian Dollar/New Zealand,September,1999,1999-09,6433,
National Commodity & Derivatives Exchange,Barley,June,2007,2007-06,6413,
New York Mercantile Exchange,California Oregon Border Electricity,May,1996,1996-05,6394,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,July,2003,2003-07,6392,
New York Mercantile Exchange,California Oregon Border Electricity,October,1996,1996-10,6373,
Chicago Mercantile Exchange,British Pound/Japanese Yen,March,2011,2011-03,6346,
National Commodity & Derivatives Exchange,Barley,August,2007,2007-08,6335,
National Commodity & Derivatives Exchange,Barley,May,2007,2007-05,6334,
New York Mercantile Exchange,Brent Crude Oil Average Price (BA),November,2009,2009-11,6330,
NYSE Amex,Airline Index,March,1998,1998-03,6319,
ICE Futures Europe,Brent Crude Oil Options,September,2007,2007-09,6311,
Chicago Mercantile Exchange,5 Year SWAP,March,2003,2003-03,6285,
NYSE Amex,Airline Index,May,1998,1998-05,6265,
New York Board of Trade,Australian Dollar/New Zealand,June,2004,2004-06,6223,
ICE Futures Europe,Brent Crude Oil Options,October,2006,2006-10,6220,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,August,2001,2001-08,6200,
New York Mercantile Exchange,Argus LLS vs. WTI (Arg) T (E5),October,2011,2011-10,6165,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,July,2000,2000-07,6162,
ICE Futures Europe,Brent Crude Oil Options,August,2005,2005-08,6160,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,January,2003,2003-01,6122,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,December,2001,2001-12,6110,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,February,2002,2002-02,6107,
Nasdaq OMX Commodities,Carbon EUA,March,2012,2012-03,6086,
Chicago Mercantile Exchange,90 Day T-Bills,February,1999,1999-02,6085,
Nyse Liffe U.S.,"5,000 oz. Silver",February,2011,2011-02,6029,
Euronext Brussels,Bel 20 Index,July,1994,1994-07,5992,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,September,2003,2003-09,5986,
Chicago Board of Trade,"5,000 oz. Silver",September,2008,2008-09,5985,
New York Board of Trade,Australian Dollar/New Zealand,December,1999,1999-12,5969,
New York Mercantile Exchange,California Oregon Border Electricity,January,1997,1997-01,5966,
Nyse Liffe U.S.,"5,000 oz. Silver",January,2011,2011-01,5957,
Chicago Board of Trade,7 Year Interest Rate Swap,December,2009,2009-12,5922,
Chicago Mercantile Exchange,5 Year Swap,December,2004,2004-12,5880,
New York Mercantile Exchange,California Oregon Border Electricity,March,1999,1999-03,5851,
New York Mercantile Exchange,Argus LLS vs. WTI (Arg) T (E5),August,2012,2012-08,5833,
New York Mercantile Exchange,Brent Crude Oil Average Price (BA),February,2010,2010-02,5820,
Singapore International Monetary Exchange,Brent Crude,March,1998,1998-03,5820,
International Petroleum Exchange,Brent Crude Oil Options,October,2003,2003-10,5817,
Chicago Mercantile Exchange,90 Day T-Bills,March,2001,2001-03,5801,
New York Board of Trade,Australian Dollar/New Zealand,June,2005,2005-06,5799,
Bolsa de Mercadorias & Futuros,Bovespa Stock Options Volatility,September,2009,2009-09,5735,
New York Mercantile Exchange,AER-Dayton Hub Daily Electricity Futures - Peak,June,2005,2005-06,5720,
Chicago Board of Trade,7 Year Interest Rate Swap,September,2009,2009-09,5715,
Chicago Mercantile Exchange,90 Day T-Bills,December,1998,1998-12,5714,
New York Mercantile Exchange,California Oregon Border Electricity,February,1999,1999-02,5711,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,October,2004,2004-10,5689,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,September,2000,2000-09,5658,
New York Mercantile Exchange,California Oregon Border Electricity,May,1999,1999-05,5639,
New York Mercantile Exchange,Brent Crude Oil Average Price (BA),March,2008,2008-03,5600,
New York Mercantile Exchange,California Oregon Border Electricity,December,1998,1998-12,5593,
New York Mercantile Exchange,Brent Crude Oil Average Price (BA),December,2009,2009-12,5590,
New York Mercantile Exchange,California Oregon Border Electricity,January,1999,1999-01,5564,
New York Mercantile Exchange,California Oregon Border Electricity,September,1998,1998-09,5563,
New York Board of Trade,Australian Dollar/New Zealand,November,2005,2005-11,5556,
Montreal Exchange,Banking Index (SXB),March,2008,2008-03,5544,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,July,2001,2001-07,5496,
ICE Futures Europe,Brent Crude Oil Options,October,2007,2007-10,5487,
National Commodity & Derivatives Exchange,Barley,October,2009,2009-10,5482,
New York Board of Trade,Australian Dollar/New Zealand,February,2005,2005-02,5460,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,December,2004,2004-12,5444,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,February,2001,2001-02,5419,
Multi Commodity Exchange of India,Barley,April,2010,2010-04,5383,
Chicago Board of Trade,7 Year Interest Rate Swap,December,2010,2010-12,5380,
International Petroleum Exchange,Brent Crude Oil Options,March,2003,2003-03,5368,
New York Mercantile Exchange,Argus LLS vs. WTI (Arg) T (E5),February,2012,2012-02,5362,
Chicago Mercantile Exchange,5 Year Swap,December,2005,2005-12,5350,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,April,2001,2001-04,5326,
International Petroleum Exchange,Brent Crude Oil Options,June,2002,2002-06,5314,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,March,2002,2002-03,5298,
Chicago Board of Trade,Binary,July,2007,2007-07,5292,
ICE Futures Europe,Brent Crude Oil Options,June,2007,2007-06,5292,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,May,2001,2001-05,5253,
Chicago Mercantile Exchange,5 Year Swap,August,2008,2008-08,5250,
Chicago Mercantile Exchange,90 Day T-Bills,September,1998,1998-09,5172,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,June,2000,2000-06,5160,
New York Mercantile Exchange,1% Fuel Oil NWE Crack Spead Swap (FI),May,2012,2012-05,5156,
NYSE Amex,Airline Index,May,1995,1995-05,5114,
Chicago Board of Trade,"5,000 oz. Silver",February,2005,2005-02,5078,
Chicago Board of Trade,2 Year Treasury Note,September,2005,2005-09,5072,
Nyse Liffe U.S.,"5,000 oz. Silver",March,2010,2010-03,5056,
Chicago Board of Trade,"5,000 oz. Silver",April,2005,2005-04,5053,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,August,2003,2003-08,5013,
Chicago Board of Trade,Binary,September,2007,2007-09,4972,
Chicago Board of Trade,"5,000 oz. Silver",March,2005,2005-03,4906,
New York Mercantile Exchange,California Oregon Border Electricity,December,1997,1997-12,4896,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,June,2004,2004-06,4888,
New York Mercantile Exchange,California Oregon Border Electricity,March,1997,1997-03,4883,
Singapore International Monetary Exchange,Brent Crude,November,1996,1996-11,4882,
International Petroleum Exchange,Brent Crude Oil Options,November,2002,2002-11,4841,
Chicago Mercantile Exchange,90 Day T-Bills,January,1999,1999-01,4837,
Eurex US,2 Year Treasury Note,September,2004,2004-09,4809,
New York Mercantile Exchange,California Oregon Border Electricity,April,1998,1998-04,4801,
Chicago Mercantile Exchange,British Pound/Japanese Yen,September,2012,2012-09,4801,
New York Mercantile Exchange,1% Fuel Oil NWE Crack Spead Swap (FI),June,2012,2012-06,4780,
Chicago Mercantile Exchange,5 Year Swap,January,2004,2004-01,4775,
Chicago Mercantile Exchange,90 Day T-Bills,October,1998,1998-10,4761,
NYSE Amex,Airline Index,December,1998,1998-12,4756,
New York Mercantile Exchange,California Oregon Border Electricity,July,1996,1996-07,4746,
Chicago Board of Trade,"5,000 oz. Silver",January,2005,2005-01,4732,
Montreal Exchange,Banking Index (SXB),July,2008,2008-07,4703,
International Petroleum Exchange,Brent Crude Oil Options,January,2004,2004-01,4701,
New York Mercantile Exchange,California Oregon Border Electricity,September,1996,1996-09,4683,
Chicago Board of Trade,7 Year Interest Rate Swap,August,2010,2010-08,4681,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,January,2005,2005-01,4675,
Nyse Liffe U.S.,"5,000 oz. Silver",January,2010,2010-01,4667,
Chicago Mercantile Exchange,5 Year Swap,November,2004,2004-11,4650,
Chicago Mercantile Exchange,British Pound/Japanese Yen,December,2012,2012-12,4638,
Nyse Liffe U.S.,"5,000 oz. Silver",May,2011,2011-05,4636,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,May,2002,2002-05,4610,
New York Board of Trade,Australian Dollar/New Zealand,December,2003,2003-12,4603,
New York Mercantile Exchange,Argus LLS vs. WTI (Arg) T (E5),August,2011,2011-08,4601,
Chicago Mercantile Exchange,5 Year SWAP,September,2003,2003-09,4585,
Nyse Liffe U.S.,"5,000 oz. Silver",June,2011,2011-06,4576,
New York Mercantile Exchange,California Oregon Border Electricity,November,1996,1996-11,4575,
Chicago Mercantile Exchange,5 Year Swap,March,2006,2006-03,4560,
NYSE Amex,Airline Index,November,1998,1998-11,4557,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,June,2006,2006-06,4554,
New York Mercantile Exchange,California Oregon Border Electricity,August,1996,1996-08,4548,
NYSE Amex,Airline Index,April,1995,1995-04,4548,
Chicago Board of Trade,Binary,December,2007,2007-12,4512,
Nyse Liffe U.S.,"5,000 oz. Silver",December,2009,2009-12,4507,
Nyse Liffe U.S.,"5,000 oz. Silver",August,2011,2011-08,4504,
Chicago Mercantile Exchange,90 Day T-Bills,September,2001,2001-09,4497,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,February,2003,2003-02,4484,
New York Mercantile Exchange,California Oregon Border Electricity,March,1998,1998-03,4462,
New York Board of Trade,Australian Dollar/New Zealand,November,2004,2004-11,4462,
National Commodity & Derivatives Exchange,Barley,November,2010,2010-11,4460,
New York Mercantile Exchange,Brent Crude Oil Average Price (BA),July,2010,2010-07,4440,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,November,2001,2001-11,4436,
National Commodity & Derivatives Exchange,Barley,April,2009,2009-04,4428,
New York Mercantile Exchange,California Oregon Border Electricity,April,1999,1999-04,4415,
New York Board of Trade,Australian Dollar/New Zealand,August,1999,1999-08,4403,
New York Mercantile Exchange,Brent Crude Oil Average Price (BA),September,2009,2009-09,4380,
New York Mercantile Exchange,Brent Crude Oil Average Price (BA),April,2008,2008-04,4375,
ICE Futures U.S.,Australian Dollar/New Zealand,June,2007,2007-06,4357,
NYSE Amex,Airline Index,August,1998,1998-08,4332,
Chicago Board of Trade,7 Year Interest Rate Swap,March,2010,2010-03,4332,
National Commodity & Derivatives Exchange,Barley,March,2011,2011-03,4327,
Chicago Board of Trade,"5,000 oz. Silver",May,2005,2005-05,4320,
New York Mercantile Exchange,California Oregon Border Electricity,July,1999,1999-07,4306,
Singapore International Monetary Exchange,Brent Crude,May,1996,1996-05,4283,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,September,2001,2001-09,4240,
Chicago Mercantile Exchange,British Pound/Japanese Yen,August,2011,2011-08,4221,
New York Mercantile Exchange,Argus LLS vs. WTI (Arg) T (E5),December,2012,2012-12,4219,
New York Mercantile Exchange,California Oregon Border Electricity,February,1997,1997-02,4217,
Chicago Mercantile Exchange,5 Year Swap,July,2007,2007-07,4200,
New York Mercantile Exchange,Argus LLS vs. WTI (Arg) T (E5),July,2012,2012-07,4190,
ICE Futures U.S.,Australian Dollar/New Zealand,February,2007,2007-02,4177,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,October,2003,2003-10,4166,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,May,2006,2006-05,4120,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,November,2004,2004-11,4117,
ICE Futures U.S.,Australian Dollar/New Zealand,January,2007,2007-01,4093,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,May,2003,2003-05,4087,
Eurex US,2 Year Treasury Note,July,2004,2004-07,4047,
New York Mercantile Exchange,Argus LLS vs. WTI (Arg) T (E5),October,2012,2012-10,4037,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,July,2004,2004-07,4037,
Chicago Board of Trade,7 Year Interest Rate Swap,June,2009,2009-06,4019,
Nyse Liffe U.S.,"5,000 oz. Silver",March,2011,2011-03,3998,
National Commodity & Derivatives Exchange,Barley,June,2008,2008-06,3991,
Chicago Mercantile Exchange,British Pound/Japanese Yen,October,2010,2010-10,3987,
Chicago Mercantile Exchange,British Pound/Japanese Yen,December,2011,2011-12,3945,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,October,2002,2002-10,3925,
Chicago Mercantile Exchange,5 Year Swap,October,2004,2004-10,3920,
Chicago Mercantile Exchange,British Pound/Japanese Yen,March,2012,2012-03,3912,
ICE Futures Europe,Brent Crude Oil Options,March,2007,2007-03,3898,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,September,2002,2002-09,3885,
Chicago Mercantile Exchange,90 Day T-Bills,November,1998,1998-11,3855,
NYSE Amex,Airline Index,December,1996,1996-12,3846,
Bolsa de Mercadorias & Futuros,Bovespa Stock Options Volatility,October,2009,2009-10,3830,
Singapore International Monetary Exchange,Brent Crude,April,1997,1997-04,3825,
New York Mercantile Exchange,Argus LLS vs. WTI (Arg) T (E5),November,2012,2012-11,3818,
New York Mercantile Exchange,California Oregon Border Electricity,August,1999,1999-08,3810,
Chicago Mercantile Exchange,British Pound/Japanese Yen,November,2012,2012-11,3798,
Singapore International Monetary Exchange,Brent Crude,July,1996,1996-07,3786,
ICE Futures U.S.,Australian Dollar/New Zealand,May,2007,2007-05,3747,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,January,2001,2001-01,3738,
ICE Futures Europe,Brent Crude Oil Options,December,2007,2007-12,3707,
Chicago Mercantile Exchange,5 Year SWAP,February,2003,2003-02,3675,
International Petroleum Exchange,Brent Crude Oil Options,April,2003,2003-04,3650,
ICE Futures U.S.,Australian Dollar/New Zealand,March,2011,2011-03,3637,
Chicago Board of Trade,$25 Dow Jones Industrial Index,March,2006,2006-03,3602,
National Commodity & Derivatives Exchange,Barley,September,2009,2009-09,3597,
Chicago Mercantile Exchange,90 Day T-Bills,May,1999,1999-05,3566,
National Commodity & Derivatives Exchange,Barley,May,2009,2009-05,3549,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,August,2002,2002-08,3545,
Chicago Board of Trade,$25 Dow Jones Industrial Index,April,2006,2006-04,3526,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,June,2003,2003-06,3522,
New York Board of Trade,Australian Dollar/New Zealand,April,2004,2004-04,3495,
New York Board of Trade,Australian Dollar/New Zealand,July,2005,2005-07,3494,
Multi Commodity Exchange of India,Barley,February,2010,2010-02,3486,
Singapore International Monetary Exchange,Brent Crude,August,1996,1996-08,3480,
Chicago Board of Trade,"5,000 oz. Silver",July,2005,2005-07,3438,
Chicago Mercantile Exchange,5 Year Swap,August,2004,2004-08,3430,
National Commodity & Derivatives Exchange,Barley,September,2011,2011-09,3414,
Chicago Mercantile Exchange,90 Day T-Bills,July,1998,1998-07,3411,
ICE Futures U.S.,Australian Dollar/New Zealand,February,2006,2006-02,3378,
ICE Futures Europe,Brent Crude Oil Options,April,2005,2005-04,3375,
Singapore International Monetary Exchange,Brent Crude,June,1997,1997-06,3362,
Chicago Mercantile Exchange,British Pound/Japanese Yen,September,2010,2010-09,3355,
Singapore International Monetary Exchange,Brent Crude,March,1997,1997-03,3341,
National Commodity & Derivatives Exchange,Barley,August,2011,2011-08,3340,
New York Board of Trade,Australian Dollar/New Zealand,October,2003,2003-10,3339,
New York Mercantile Exchange,California Oregon Border Electricity,September,1999,1999-09,3323,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,November,2002,2002-11,3309,
New York Mercantile Exchange,Argus LLS vs. WTI (Arg) T (E5),September,2012,2012-09,3288,
New York Mercantile Exchange,Argus LLS vs. WTI (Arg) T (E5),November,2011,2011-11,3286,
New York Mercantile Exchange,1% Fuel Oil NWE Crack Spead Swap (FI),October,2012,2012-10,3286,
Singapore International Monetary Exchange,Brent Crude,September,1998,1998-09,3279,
Chicago Board of Trade,Binary,August,2007,2007-08,3276,
Chicago Mercantile Exchange,5 Year Swap,May,2007,2007-05,3250,
Chicago Mercantile Exchange,5 Year Swap,May,2006,2006-05,3250,
Singapore International Monetary Exchange,Brent Crude,February,1998,1998-02,3241,
Chicago Mercantile Exchange,90 Day T-Bills,November,2000,2000-11,3231,
New York Board of Trade,BFP Milk,May,1999,1999-05,3212,
Chicago Board of Trade,$25 Dow Jones Industrial Index,June,2006,2006-06,3209,
Chicago Board Options Exchange,10 Year Interest Rate (TNX),November,2007,2007-11,3208,
Chicago Mercantile Exchange,90 Day T-Bills,March,2000,2000-03,3201,
New York Mercantile Exchange,California Oregon Border Electricity,November,1999,1999-11,3179,
Chicago Mercantile Exchange,90 Day T-Bills,July,2001,2001-07,3175,
ICE Futures Europe,Brent Crude Oil Options,January,2005,2005-01,3175,
Chicago Mercantile Exchange,90 Day T-Bills,June,1999,1999-06,3173,
Chicago Board of Trade,$25 Dow Jones Industrial Index,May,2007,2007-05,3154,
Chicago Board of Trade,2 Year Treasury Note,February,2004,2004-02,3150,
Bolsa de Mercadorias & Futuros,Anhyddrous Fuel Alcohol Futures,August,2006,2006-08,3118,
