Contract_Type,Year,Month,Report_Year_Month,Volume,Open_Interest
Future,2009,05,2009-05,659421152,176028597
Option,2009,05,2009-05,779409023,571959535
Future,2009,06,2009-06,754925628,162119035
Option,2009,06,2009-06,835491009,529499487
Future,2009,07,2009-07,671075282,167559024
Option,2009,07,2009-07,771175376,562077819
Future,2009,08,2009-08,682859507,162257976
Option,2009,08,2009-08,764817658,584871053
Future,2009,09,2009-09,734615540,154260372
Option,2009,09,2009-09,862102049,579798506
Future,2009,10,2009-10,730679148,167246565
Option,2009,10,2009-10,880292135,627578801
Future,2009,11,2009-11,731690080,168291859
Option,2009,11,2009-11,819191358,639042835
Future,2009,12,2009-12,768858449,158555500
Option,2009,12,2009-12,794310677,525037803
Future,2010,01,2010-01,776428517,171179172
Option,2010,01,2010-01,866055798,523257905
Future,2010,02,2010-02,772042733,169019459
Option,2010,02,2010-02,793472105,557316936
Future,2010,03,2010-03,935360442,168750428
Option,2010,03,2010-03,934984842,556301354
Future,2010,04,2010-04,979462102,206404728
Option,2010,04,2010-04,938739344,614726400
Future,2010,05,2010-05,1214671017,188586154
Option,2010,05,2010-05,1134151443,647183161
Future,2010,06,2010-06,1016817426,168132402
Option,2010,06,2010-06,893229770,585101101
Future,2010,07,2010-07,843997040,175481276
Option,2010,07,2010-07,820940321,594993111
Future,2010,08,2010-08,872233156,175733367
Option,2010,08,2010-08,902360242,627880952
Future,2010,09,2010-09,1005658672,166250748
Option,2010,09,2010-09,850295654,601332223
Future,2010,10,2010-10,953521661,162447216
Option,2010,10,2010-10,1021452451,640436441
Future,2010,11,2010-11,1079773806,163916867
Option,2010,11,2010-11,1112277500,672743929
Future,2010,12,2010-12,848207224,155841168
Option,2010,12,2010-12,852866363,562686375
Future,2011,01,2011-01,831867956,163364932
Option,2011,01,2011-01,1029391741,532544065
Future,2011,02,2011-02,849032400,166903211
Option,2011,02,2011-02,1024288419,591557256
Future,2011,03,2011-03,1156173018,166813339
Option,2011,03,2011-03,1183345689,594550393
Future,2011,04,2011-04,888414496,190686626
Option,2011,04,2011-04,1017771333,602620970
Future,2011,05,2011-05,1124510367,185048874
Option,2011,05,2011-05,1087272822,633890902
Future,2011,06,2011-06,1132275025,170542463
Option,2011,06,2011-06,1056351818,612736845
Future,2011,07,2011-07,970098956,177247053
Option,2011,07,2011-07,1005644324,628530854
Future,2011,08,2011-08,1326352851,174156234
Option,2011,08,2011-08,1406529617,695797409
Future,2011,09,2011-09,1157322705,165722941
Option,2011,09,2011-09,1086254094,662872664
Future,2011,10,2011-10,906584797,167342413
Option,2011,10,2011-10,986252413,654424950
Future,2011,11,2011-11,969728389,169880231
Option,2011,11,2011-11,1064678538,671280710
Future,2011,12,2011-12,809758826,156473965
Option,2011,12,2011-12,876412370,536825449
Future,2012,01,2012-01,742416532,158891487
Option,2012,01,2012-01,926772470,490571631
Future,2012,02,2012-02,805289592,170813297
Option,2012,02,2012-02,960455931,547399755
Future,2012,03,2012-03,969353271,153368727
Option,2012,03,2012-03,974631158,539015037
Future,2012,04,2012-04,811146576,170221266
Option,2012,04,2012-04,878785221,551155523
Future,2012,05,2012-05,1079902753,167857744
Option,2012,05,2012-05,1064214654,601225056
Future,2012,06,2012-06,1042625345,155169014
Option,2012,06,2012-06,874508260,540312968
Future,2012,07,2012-07,934993439,156291636
Option,2012,07,2012-07,766756622,545302605
Future,2012,08,2012-08,906750124,160594459
Option,2012,08,2012-08,755728302,573129720
Future,2012,09,2012-09,966423168,158260503
Option,2012,09,2012-09,736776443,551690718
Future,2012,10,2012-10,938718265,177975829
Option,2012,10,2012-10,754478526,596899506
Future,2012,11,2012-11,928349560,183304962
Option,2012,11,2012-11,739258266,622120940
Future,2012,12,2012-12,885493998,170817182
Option,2012,12,2012-12,685301190,508519964
Future,2013,01,2013-01,987969552,171069239
Option,2013,01,2013-01,852743703,525039853
Future,2013,02,2013-02,959811983,176864353
Option,2013,02,2013-02,727618398,570675001
Future,2013,03,2013-03,1095464551,178015067
Option,2013,03,2013-03,772777372,547302032
Future,2013,04,2013-04,1114025639,190333283
Option,2013,04,2013-04,832328627,571117965
Future,2013,05,2013-05,1232149056,194920057
Option,2013,05,2013-05,883620560,622617196
Future,2013,06,2013-06,1273477232,176615904
Option,2013,06,2013-06,867535526,580405065
Future,2013,07,2013-07,977870846,170993302
Option,2013,07,2013-07,784338335,593266508
Future,2013,08,2013-08,984886809,179675258
Option,2013,08,2013-08,784386147,623452178
Future,2013,09,2013-09,964789931,174140781
Option,2013,09,2013-09,721424443,599505184
Future,2013,10,2013-10,860641375,182007996
Option,2013,10,2013-10,840216795,656932502
Future,2013,11,2013-11,819707096,189520149
Option,2013,11,2013-11,702102614,666701279
Future,2013,12,2013-12,869601582,172168751
Option,2013,12,2013-12,661702921,551385060
Future,2014,01,2014-01,904205519,177807067
Option,2014,01,2014-01,827963189,523935242
Future,2014,02,2014-02,872060550,187548751
Option,2014,02,2014-02,729321027,546821007
Future,2014,03,2014-03,1077781948,186106998
Option,2014,03,2014-03,779084177,525609734
Future,2014,04,2014-04,901266040,191749125
Option,2014,04,2014-04,711980326,542226322
Future,2014,05,2014-05,930912812,202753028
Option,2014,05,2014-05,679247419,567600240
Future,2014,06,2014-06,988710889,195858601
Option,2014,06,2014-06,731529047,541935500
Future,2014,07,2014-07,941914763,203481766
Option,2014,07,2014-07,804894850,587698678
Future,2014,08,2014-08,923418588,208663536
Option,2014,08,2014-08,783810924,610364058
