Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Parent_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Volume,Open_Interest
"Tokyo Rice",Future,Agriculture,"Osaka Dojima Commodity Exchange","Japan Exchange",ODE,Japan,Asia,2017,09,2017-09,2413,3518
"Tola Gold",Future,Metals,"Pakistan Mercantile Exchange","Pakistan Mercantile Exchange",PMEX,Pakistan,Asia,2017,09,2017-09,1490,100
Topix,Future,Equity,"Japan Exchange","Japan Exchange",JPX,Japan,Asia,2017,09,2017-09,3393692,647947
"Topix (TJF)",Future,Equity,"Taiwan Futures Exchange","Taiwan Futures Exchange",TAIFEX,Taiwan,Asia,2017,09,2017-09,8983,896
"Topix Banks Index",Future,Equity,"Japan Exchange","Japan Exchange",JPX,Japan,Asia,2017,09,2017-09,37786,17181
"Topix Core30",Future,Equity,"Japan Exchange","Japan Exchange",JPX,Japan,Asia,2017,09,2017-09,292,199
"Topix Index",Option,Equity,"Japan Exchange","Japan Exchange",JPX,Japan,Asia,2017,09,2017-09,15617,61255
"Transco Zone 3 Natural Gas (Platts Gas Daily/Platts IFERC) Index (Y6)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,2074
"Transco Zone 3 Natural Gas (Platts IFERC) Basis (CZ)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,4599
"Transco Zone 4 Natural Gas (Platts IFERC) Basis (TR)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,620,13165
"Transco Zone 6 Natural Gas (Platts Gas Daily/Platts IFERC) Index (IT)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,488
"Transco Zone 6 Natural Gas (Platts IFERC) Basis (NZ)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,3487
"Transco Zone 6 Non-N.Y. Natural Gas (Platts Gas Daily/Platts IFERC) Index (TZI)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,244
"Transco Zone 6 Non-N.Y. Natural Gas (Platts IFERC) Basis (TZ6)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,7157
TRY/EUR,Future,Currencies,"Borsa Istanbul","Borsa Istanbul",BIST,Turkey,Other,2017,09,2017-09,172424,27769
TRY/HUF,Future,Currencies,"Budapest Stock Exchange","CEE Stock Exchange Group",BSE,Hungary,Europe,2017,09,2017-09,2400,4395
TRY/USD,Future,Currencies,"Borsa Istanbul","Borsa Istanbul",BIST,Turkey,Other,2017,09,2017-09,4473101,427816
TRY/USD,Option,Currencies,"Borsa Istanbul","Borsa Istanbul",BIST,Turkey,Other,2017,09,2017-09,613269,504370
"TSE Mothers Index",Future,Equity,"Japan Exchange","Japan Exchange",JPX,Japan,Asia,2017,09,2017-09,49858,7018
"Turkish Lira",Future,Currencies,B3,B3,B3,Brazil,"Latin America",2017,09,2017-09,3115,1052
"Turkish Lira",Future,Currencies,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,4794,3650
"Turkish Lira /Japanese Yen",Future,Currencies,"Tokyo Financial Exchange","Tokyo Financial Exchange",TFX,Japan,Asia,2017,09,2017-09,354839,280088
"Turkish Lira/Euro",Future,Currencies,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,3131,1371
