Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Parent_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Volume,Open_Interest
"1% Fuel Oil Cargoes CIF MED (Platts) (1W)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,12
"1% Fuel Oil Cargoes FOB NWE (Platts) vs. 3.5% Fuel Oil Barges FOB Rotterdam (Platts) (FS)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,110,1045
"1% Fuel Oil Rotterdam (Platts) vs. 1% Fuel Oil NWE (Platts) (33)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,48
"10 Baht Gold",Future,Metals,"Thailand Futures Exchange","Thailand Futures Exchange",TFEX,Thailand,Asia,2017,09,2017-09,444486,42002
"10 Year Canadian Government Bond (CGB)",Future,"Interest Rates","Montreal Exchange","TMX Group",MX,Canada,"North America",2017,09,2017-09,1286309,557665
"10 Year Canadian Government Bond (OGB)",Option,"Interest Rates","Montreal Exchange","TMX Group",MX,Canada,"North America",2017,09,2017-09,0,2591
"10 Year Colombian Government Bond",Future,"Interest Rates","Bolsa de Valores de Colombia","Bolsa de Valores de Colombia",BVC,Colombia,"Latin America",2017,09,2017-09,8854,2277
"10 Year Japan Government Bond",Future,"Interest Rates","Japan Exchange","Japan Exchange",JPX,Japan,Asia,2017,09,2017-09,1013477,92611
"10 Year Japan Government Bond",Option,"Interest Rates","Japan Exchange","Japan Exchange",JPX,Japan,Asia,2017,09,2017-09,89339,13457
"10 year Russian Federation Government Bond",Future,"Interest Rates","Moscow Exchange","Moscow Exchange",MOEX,Russia,Europe,2017,09,2017-09,12269,4766
"10 Year Standards",Future,"Interest Rates","Eris Exchange","Eris Exchange",ERIS,"United States","North America",2017,09,2017-09,17326,75883
"10 Year Swedish Government Bond (SGB10)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",Nasdaq,OMX,Sweden,Europe,2017,09,2017-09,120331,46563
"10 Year Treasury Bond",Future,"Interest Rates","ASX 24",ASX,"ASX 24",Australia,Asia,2017,09,2017-09,5588896,1009213
"10 Year Treasury Bond ",Future,"Interest Rates","China Financial Futures Exchange","China Financial Futures Exchange",CFFEX,China,Asia,2017,09,2017-09,613086,73484
"10 Year Treasury Bond",Future,"Interest Rates","Korea Exchange","Korea Exchange",KRX,"South Korea",Asia,2017,09,2017-09,1276767,86749
"10 Year Treasury Bond Overnight",Option,"Interest Rates","ASX 24",ASX,"ASX 24",Australia,Asia,2017,09,2017-09,1300,0
"10 Year Treasury Note",Future,"Interest Rates","Chicago Board of Trade","CME Group",CBOT,"United States","North America",2017,09,2017-09,27756666,3126281
"10 Year Treasury Note",Option,"Interest Rates","Chicago Board of Trade","CME Group",CBOT,"United States","North America",2017,09,2017-09,12291068,3267922
"10 Year USD Deliverable Interest Rate Swap",Future,"Interest Rates","Chicago Board of Trade","CME Group",CBOT,"United States","North America",2017,09,2017-09,90300,28198
"100 oz Gold",Future,Metals,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,6,2
"15 Year Russian Federation Government Bond",Future,"Interest Rates","Moscow Exchange","Moscow Exchange",MOEX,Russia,Europe,2017,09,2017-09,37838,39210
"2 Year Colombian Government Bond",Future,"Interest Rates","Bolsa de Valores de Colombia","Bolsa de Valores de Colombia",BVC,Colombia,"Latin America",2017,09,2017-09,2382,446
"2 Year Nordea Hypotek Bond (NDH2Y)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",Nasdaq,OMX,Sweden,Europe,2017,09,2017-09,2364,0
"2 Year Russian Federation Government Bond",Future,"Interest Rates","Moscow Exchange","Moscow Exchange",MOEX,Russia,Europe,2017,09,2017-09,8300,15356
"2 Year Spintab Bond (SWH2Y)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",Nasdaq,OMX,Sweden,Europe,2017,09,2017-09,10015,4727
"2 Year Stadshypotek Bond (STH2Y)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",Nasdaq,OMX,Sweden,Europe,2017,09,2017-09,28507,5633
"2 Year Standards",Future,"Interest Rates","Eris Exchange","Eris Exchange",ERIS,"United States","North America",2017,09,2017-09,2596,11473
"2 Year Swedish Government Bond (SGB2Y)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",Nasdaq,OMX,Sweden,Europe,2017,09,2017-09,131540,34198
"2 Year Treasury Note",Future,"Interest Rates","Chicago Board of Trade","CME Group",CBOT,"United States","North America",2017,09,2017-09,6379317,1600017
"2 Year Treasury Note",Option,"Interest Rates","Chicago Board of Trade","CME Group",CBOT,"United States","North America",2017,09,2017-09,387364,380361
"20 Year Treasury Bond",Future,"Interest Rates","ASX 24",ASX,"ASX 24",Australia,Asia,2017,09,2017-09,54926,22572
"3 Month Canadian Bankers Acceptance (BAX)",Future,"Interest Rates","Montreal Exchange","TMX Group",MX,Canada,"North America",2017,09,2017-09,3641483,921245
"3 Month Canadian Bankers' Acceptance (OBX)",Option,"Interest Rates","Montreal Exchange","TMX Group",MX,Canada,"North America",2017,09,2017-09,86933,177702
"3 Month Euribor",Future,"Interest Rates",Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,7711,36225
"3 Month Euribor",Future,"Interest Rates","ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,16669228,3842513
"3 Month Euribor",Future,"Interest Rates","LSE Derivatives Market","London Stock Exchange Group",LSEDM,"United Kingdom",Europe,2017,09,2017-09,119295,61474
"3 Month Euribor",Option,"Interest Rates",Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,2,316
"3 Month Euribor",Option,"Interest Rates","ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,1074686,3407544
"3 Month Euribor 1 Year Mid Curve",Option,"Interest Rates","ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,376381,928095
"3 Month Euribor 2 Year Mid Curve",Option,"Interest Rates","ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,634088,959096
"3 Month Euribor 3 Year Mid Curve",Option,"Interest Rates","ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,647737,1030964
"3 Month Euribor 4 Year Mid Curve",Option,"Interest Rates","ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,0,2500
"3 Month Euroswiss",Future,"Interest Rates","ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,467134,198378
"3 Month Euroyen",Future,"Interest Rates","Tokyo Financial Exchange","Tokyo Financial Exchange",TFX,Japan,Asia,2017,09,2017-09,129531,130981
"3 Month Hibor",Future,"Interest Rates","Hong Kong Exchanges and Clearing","Hong Kong Exchanges and Clearing",HKEX,"Hong Kong",Asia,2017,09,2017-09,298,310
"3 Month NIBOR (3NIBFR)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",Nasdaq,OMX,Sweden,Europe,2017,09,2017-09,60000,145000
"3 Month Sterling",Future,"Interest Rates","ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,22910019,3200951
"3 Month Sterling",Future,"Interest Rates","LSE Derivatives Market","London Stock Exchange Group",LSEDM,"United Kingdom",Europe,2017,09,2017-09,128944,55570
"3 Month Sterling",Option,"Interest Rates","ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,3685654,5231126
"3 Month Sterling 2 Year Mid Curve",Option,"Interest Rates","ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,670434,1076030
"3 Month Sterling 3 Year Mid Curve",Option,"Interest Rates","ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,24000,65000
"3 Month Sterling Mid Curve",Option,"Interest Rates","ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,953340,1245210
"3 Month STIBOR (3STIBF)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",Nasdaq,OMX,Sweden,Europe,2017,09,2017-09,12000,23140
"3 Month WIBOR",Future,"Interest Rates","Warsaw Stock Exchange","Warsaw Stock Exchange",WSE,Poland,Europe,2017,09,2017-09,0,4
"3 Year Standards",Future,"Interest Rates","Eris Exchange","Eris Exchange",ERIS,"United States","North America",2017,09,2017-09,1782,3248
"3 Year Treasury Bond",Future,"Interest Rates","ASX 24",ASX,"ASX 24",Australia,Asia,2017,09,2017-09,6631892,1113344
"3 Year Treasury Bond",Future,"Interest Rates","Korea Exchange","Korea Exchange",KRX,"South Korea",Asia,2017,09,2017-09,2300228,194061
"3 Year Treasury Bond",Option,"Interest Rates","ASX 24",ASX,"ASX 24",Australia,Asia,2017,09,2017-09,3500,3500
"3 Year Treasury Bond Intra-Day",Option,"Interest Rates","ASX 24",ASX,"ASX 24",Australia,Asia,2017,09,2017-09,24850,0
"3 Year Treasury Bond Overnight",Option,"Interest Rates","ASX 24",ASX,"ASX 24",Australia,Asia,2017,09,2017-09,22955,0
"3.5% Fuel Oil Barges FOB Rotterdam (Platts) Crack Spread (1000 MT) (BOB)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,1280,4372
"3.5% Fuel Oil Barges FOB Rotterdam (Platts) Crack Spread (FO)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,1729,15985
"3.5% Fuel Oil Barges FOB Rotterdam (Platts) Crack Spread Balance of the Month (FCB)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,39,39
"3.5% Fuel Oil Cargoes FOB MED (Platts) vs. 3.5% Fuel Oil Barges FOB Rotterdam (Platts) (FK)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,90,929
"3.5% Fuel Oil CIF MED (Platts) (7D)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,30,313
"3.5% Fuel Oil Rotterdam vs. 3.5% FOB MED Spread Balance of the Month (63)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,30,30
"30 Day Interbank Cash Rate",Future,"Interest Rates","ASX 24",ASX,"ASX 24",Australia,Asia,2017,09,2017-09,181988,192643
"30 Year Standards",Future,"Interest Rates","Eris Exchange","Eris Exchange",ERIS,"United States","North America",2017,09,2017-09,299,1121
"30 Year Treasury Bond",Future,"Interest Rates","Chicago Board of Trade","CME Group",CBOT,"United States","North America",2017,09,2017-09,5442268,712261
"30 Year Treasury Bond",Option,"Interest Rates","Chicago Board of Trade","CME Group",CBOT,"United States","North America",2017,09,2017-09,2705574,728845
"30 Year USD Deliverable Interest Rate Swap",Future,"Interest Rates","Chicago Board of Trade","CME Group",CBOT,"United States","North America",2017,09,2017-09,702,173
"4 Year Russian Federation Government Bond",Future,"Interest Rates","Moscow Exchange","Moscow Exchange",MOEX,Russia,Europe,2017,09,2017-09,7952,15638
"4 Year Standards",Future,"Interest Rates","Eris Exchange","Eris Exchange",ERIS,"United States","North America",2017,09,2017-09,1060,667
"5 Year Canadian Government Bond (CGF)",Future,"Interest Rates","Montreal Exchange","TMX Group",MX,Canada,"North America",2017,09,2017-09,21459,5232
"5 Year China Ministry of Finance Treasury Bond",Future,"Interest Rates","Hong Kong Exchanges and Clearing","Hong Kong Exchanges and Clearing",HKEX,"Hong Kong",Asia,2017,09,2017-09,35,135
"5 Year Colombian Government Bond",Future,"Interest Rates","Bolsa de Valores de Colombia","Bolsa de Valores de Colombia",BVC,Colombia,"Latin America",2017,09,2017-09,7264,3250
"5 Year Nordea Hypotek Bond (NDH5Y)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",Nasdaq,OMX,Sweden,Europe,2017,09,2017-09,27619,9463
"5 Year Spintab Bond (SWH5Y)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",Nasdaq,OMX,Sweden,Europe,2017,09,2017-09,26917,9895
"5 Year Stadshypotek Bond (STH5Y)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",Nasdaq,OMX,Sweden,Europe,2017,09,2017-09,61282,19522
"5 Year Standards",Future,"Interest Rates","Eris Exchange","Eris Exchange",ERIS,"United States","North America",2017,09,2017-09,31184,69044
"5 Year Swedish Government Bond (SGB5Y)",Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",Nasdaq,OMX,Sweden,Europe,2017,09,2017-09,185996,72048
"5 Year Treasury Bond",Future,"Interest Rates","China Financial Futures Exchange","China Financial Futures Exchange",CFFEX,China,Asia,2017,09,2017-09,194249,65295
"5 Year Treasury Note",Future,"Interest Rates","Chicago Board of Trade","CME Group",CBOT,"United States","North America",2017,09,2017-09,14990661,2969097
"5 Year Treasury Note",Option,"Interest Rates","Chicago Board of Trade","CME Group",CBOT,"United States","North America",2017,09,2017-09,2445575,1305524
"5 Year USD Deliverable Interest Rate Swap",Future,"Interest Rates","Chicago Board of Trade","CME Group",CBOT,"United States","North America",2017,09,2017-09,66324,20444
"5,000 oz Silver",Future,Metals,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,5,13
"50 Baht Gold",Future,Metals,"Thailand Futures Exchange","Thailand Futures Exchange",TFEX,Thailand,Asia,2017,09,2017-09,22758,3853
"6 Year Russian Federation Government Bond",Future,"Interest Rates","Moscow Exchange","Moscow Exchange",MOEX,Russia,Europe,2017,09,2017-09,7566,10522
"7 Year Standards",Future,"Interest Rates","Eris Exchange","Eris Exchange",ERIS,"United States","North America",2017,09,2017-09,1715,8862
"90 Day Bank Bill",Future,"Interest Rates","ASX 24",ASX,"ASX 24",Australia,Asia,2017,09,2017-09,3037304,1044579
"91 Day Government of India (GOI) Treasury Bill",Future,"Interest Rates",BSE,BSE,"BSE India",India,Asia,2017,09,2017-09,560262,12757
"AEX Daily",Option,Equity,"Euronext Derivatives Market",Euronext,EURONEXT,"United Kingdom",Europe,2017,09,2017-09,155074,4134
"AEX Mini",Future,Equity,"Euronext Derivatives Market",Euronext,EURONEXT,"United Kingdom",Europe,2017,09,2017-09,489,38
"AEX Mini",Option,Equity,"Euronext Derivatives Market",Euronext,EURONEXT,"United Kingdom",Europe,2017,09,2017-09,2340,373
"AEX Stock Index",Option,Equity,"Euronext Derivatives Market",Euronext,EURONEXT,"United Kingdom",Europe,2017,09,2017-09,528744,258994
"AEX Stock Index (FTI)",Future,Equity,"Euronext Derivatives Market",Euronext,EURONEXT,"United Kingdom",Europe,2017,09,2017-09,609983,59959
"AEX Weekly",Option,Equity,"Euronext Derivatives Market",Euronext,EURONEXT,"United Kingdom",Europe,2017,09,2017-09,157718,10404
"Algonquin City-Gates Natural Gas (Platts Gas Daily/Platts IFERC) Index (N7)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,488
"Algonquin City-Gates Natural Gas (Platts IFERC) Basis (B4)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,702
"All Futures on Individual Equities",Future,Equity,ASX,ASX,ASX,Australia,Asia,2017,09,2017-09,307049,505236
"All Futures on Individual Equities",Future,Equity,"Athens Derivatives Exchange","Athens Derivatives Exchange",ADEX,Greece,Other,2017,09,2017-09,2391579,334751
"All Futures on Individual Equities",Future,Equity,"Bolsa de Valores de Colombia","Bolsa de Valores de Colombia",BVC,Colombia,"Latin America",2017,09,2017-09,43633,28046
"All Futures on Individual Equities",Future,Equity,"Borsa Istanbul","Borsa Istanbul",BIST,Turkey,Other,2017,09,2017-09,1523088,725181
"All Futures on Individual Equities",Future,Equity,"Borsa Italiana (IDEM)","London Stock Exchange Group",IDEM,Italy,Europe,2017,09,2017-09,261335,200254
"All Futures on Individual Equities",Future,Equity,BSE,BSE,"BSE India",India,Asia,2017,09,2017-09,21,6
"All Futures on Individual Equities",Future,Equity,"Budapest Stock Exchange","CEE Stock Exchange Group",BSE,Hungary,Europe,2017,09,2017-09,35698,23972
"All Futures on Individual Equities",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,5428369,5410167
"All Futures on Individual Equities",Future,Equity,"Euronext Derivatives Market",Euronext,EURONEXT,"United Kingdom",Europe,2017,09,2017-09,33207,23330
"All Futures on Individual Equities",Future,Equity,"Hong Kong Exchanges and Clearing","Hong Kong Exchanges and Clearing",HKEX,"Hong Kong",Asia,2017,09,2017-09,5782,5243
"All Futures on Individual Equities",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,3619944,1195422
"All Futures on Individual Equities",Future,Equity,"India International Exchange",BSE,INX,India,Asia,2017,09,2017-09,140,0
"All Futures on Individual Equities",Future,Equity,"JSE Securities Exchange","JSE Securities Exchange",JSE,"South Africa",Other,2017,09,2017-09,2493178,1265530
"All Futures on Individual Equities",Future,Equity,"Korea Exchange","Korea Exchange",KRX,"South Korea",Asia,2017,09,2017-09,29747577,2364343
"All Futures on Individual Equities",Future,Equity,MEFF,MEFF,MEFF,Spain,Europe,2017,09,2017-09,1876536,1109682
"All Futures on Individual Equities",Future,Equity,"Mexican Derivatives Exchange","BMV Group",MEXDER,Mexico,"Latin America",2017,09,2017-09,184960,184660
"All Futures on Individual Equities",Future,Equity,"Moscow Exchange","Moscow Exchange",MOEX,Russia,Europe,2017,09,2017-09,16794658,2151398
"All Futures on Individual Equities",Future,Equity,"Nasdaq Exchanges Nordic Markets",Nasdaq,OMX,Sweden,Europe,2017,09,2017-09,616196,310671
"All Futures on Individual Equities",Future,Equity,"National Stock Exchange of India","National Stock Exchange of India",NSE,India,Asia,2017,09,2017-09,17314055,1461891
"All Futures on Individual Equities",Future,Equity,"Taiwan Futures Exchange","Taiwan Futures Exchange",TAIFEX,Taiwan,Asia,2017,09,2017-09,2100223,161596
"All Futures on Individual Equities",Future,Equity,"Thailand Futures Exchange","Thailand Futures Exchange",TFEX,Thailand,Asia,2017,09,2017-09,6251913,2178647
"All Futures on Individual Equities",Future,Equity,"Warsaw Stock Exchange","Warsaw Stock Exchange",WSE,Poland,Europe,2017,09,2017-09,126415,20465
"All Options on Austrian Equities",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,41759,179467
"All Options on Belgian Equities",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,42002,148184
"All Options on Dutch Equities",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,1092098,3692284
"All Options on Exchange Traded Funds",Option,Equity,"Bats Exchange","BATS Exchange",BATS,"United States","North America",2017,09,2017-09,10741547,NULL
"All Options on Exchange Traded Funds",Option,Equity,"Boston Options Exchange","TMX Group",BOX,"United States","North America",2017,09,2017-09,1874028,NULL
"All Options on Exchange Traded Funds",Option,Equity,"C2 Exchange","CBOE Holdings",C2,"United States","North America",2017,09,2017-09,7398042,NULL
"All Options on Exchange Traded Funds",Option,Equity,"Chicago Board Options Exchange","CBOE Holdings",CBOE,"United States","North America",2017,09,2017-09,21471836,NULL
"All Options on Exchange Traded Funds",Option,Equity,"EDGX Options Exchange","BATS Exchange",EDGX,"United States","North America",2017,09,2017-09,1443577,NULL
"All Options on Exchange Traded Funds",Option,Equity,"International Securities Exchange",Eurex,ISE,"United States","North America",2017,09,2017-09,11811407,NULL
"All Options on Exchange Traded Funds",Option,Equity,"International Securities Exchange Gemini",Eurex,"ISE GEMINI","United States","North America",2017,09,2017-09,5040431,NULL
"All Options on Exchange Traded Funds",Option,Equity,"International Securities Exchange Mercury",Eurex,"ISE MERCURY","United States","North America",2017,09,2017-09,116194,NULL
"All Options on Exchange Traded Funds",Option,Equity,"MIAX Options","Miami International Holdings",MIAX,"United States","North America",2017,09,2017-09,5100534,NULL
"All Options on Exchange Traded Funds",Option,Equity,"MIAX Pearl","Miami International Holdings","MIAX PEARL","United States","North America",2017,09,2017-09,4127901,NULL
"All Options on Exchange Traded Funds",Option,Equity,"Nasdaq Boston",Nasdaq,BX,"United States","North America",2017,09,2017-09,605670,NULL
"All Options on Exchange Traded Funds",Option,Equity,"Nasdaq Options Market",Nasdaq,NOM,"United States","North America",2017,09,2017-09,7769581,NULL
"All Options on Exchange Traded Funds",Option,Equity,"Nasdaq PHLX",Nasdaq,PHLX,"United States","North America",2017,09,2017-09,21795303,NULL
"All Options on Exchange Traded Funds",Option,Equity,"NYSE Amex","Intercontinental Exchange",AMEX,"United States","North America",2017,09,2017-09,13387819,NULL
"All Options on Exchange Traded Funds",Option,Equity,"NYSE Arca","Intercontinental Exchange",ARCA,"United States","North America",2017,09,2017-09,9880033,NULL
"All Options on Exchange Traded Funds",Option,Equity,OCC,OCC,OCC,"United States","North America",2017,09,2017-09,NULL,101356300
"All Options on Finnish Equities",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,635615,2489310
"All Options on French Equities",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,2150942,7949682
"All Options on German Equities",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,6225609,18794382
"All Options on Great Britain Equities",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,8038,16635
"All Options on Individual Equities",Option,Equity,ASX,ASX,ASX,Australia,Asia,2017,09,2017-09,6753895,8220221
"All Options on Individual Equities",Option,Equity,"Athens Derivatives Exchange","Athens Derivatives Exchange",ADEX,Greece,Other,2017,09,2017-09,3445,2165
"All Options on Individual Equities",Option,Equity,B3,B3,B3,Brazil,"Latin America",2017,09,2017-09,62561309,21808641
"All Options on Individual Equities",Option,Equity,"Bats Exchange","BATS Exchange",BATS,"United States","North America",2017,09,2017-09,16565993,NULL
"All Options on Individual Equities",Option,Equity,"Borsa Istanbul","Borsa Istanbul",BIST,Turkey,Other,2017,09,2017-09,285353,704808
"All Options on Individual Equities",Option,Equity,"Borsa Italiana (IDEM)","London Stock Exchange Group",IDEM,Italy,Europe,2017,09,2017-09,1284130,4267909
"All Options on Individual Equities",Option,Equity,"Boston Options Exchange","TMX Group",BOX,"United States","North America",2017,09,2017-09,4995595,NULL
"All Options on Individual Equities",Option,Equity,"C2 Exchange","CBOE Holdings",C2,"United States","North America",2017,09,2017-09,3720071,NULL
"All Options on Individual Equities",Option,Equity,"Chicago Board Options Exchange","CBOE Holdings",CBOE,"United States","North America",2017,09,2017-09,28696400,NULL
"All Options on Individual Equities",Option,Equity,"EDGX Options Exchange","BATS Exchange",EDGX,"United States","North America",2017,09,2017-09,2279201,NULL
"All Options on Individual Equities",Option,Equity,"Euronext Derivatives Market",Euronext,EURONEXT,"United Kingdom",Europe,2017,09,2017-09,5355073,14498970
"All options on Individual Equities",Option,Equity,"Hong Kong Exchanges and Clearing","Hong Kong Exchanges and Clearing",HKEX,"Hong Kong",Asia,2017,09,2017-09,8304039,7937540
"All Options on Individual Equities",Option,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,1213795,3294709
"All Options on Individual Equities",Option,Equity,"International Securities Exchange",Eurex,ISE,"United States","North America",2017,09,2017-09,13552503,NULL
"All Options on Individual Equities",Option,Equity,"International Securities Exchange Gemini",Eurex,"ISE GEMINI","United States","North America",2017,09,2017-09,9412452,NULL
"All Options on Individual Equities",Option,Equity,"International Securities Exchange Mercury",Eurex,"ISE MERCURY","United States","North America",2017,09,2017-09,412400,NULL
"All Options on Individual Equities",Option,Equity,"JSE Securities Exchange","JSE Securities Exchange",JSE,"South Africa",Other,2017,09,2017-09,1073368,1733536
"All Options on Individual Equities",Option,Equity,"Korea Exchange","Korea Exchange",KRX,"South Korea",Asia,2017,09,2017-09,1913549,230295
"All Options on Individual Equities",Option,Equity,MEFF,MEFF,MEFF,Spain,Europe,2017,09,2017-09,1941235,8080890
"All Options on Individual Equities",Option,Equity,"Mexican Derivatives Exchange","BMV Group",MEXDER,Mexico,"Latin America",2017,09,2017-09,27001,2000
"All Options on Individual Equities",Option,Equity,"MIAX Options","Miami International Holdings",MIAX,"United States","North America",2017,09,2017-09,8718520,NULL
"All Options on Individual Equities",Option,Equity,"MIAX Pearl","Miami International Holdings","MIAX PEARL","United States","North America",2017,09,2017-09,1404875,NULL
"All Options on Individual Equities",Option,Equity,"Montreal Exchange","TMX Group",MX,Canada,"North America",2017,09,2017-09,1743938,2939305
"All Options on Individual Equities",Option,Equity,"Moscow Exchange","Moscow Exchange",MOEX,Russia,Europe,2017,09,2017-09,139573,97064
"All Options on Individual Equities",Option,Equity,"Nasdaq Boston",Nasdaq,BX,"United States","North America",2017,09,2017-09,1309807,NULL
"All Options on Individual Equities",Option,Equity,"Nasdaq Exchanges Nordic Markets",Nasdaq,OMX,Sweden,Europe,2017,09,2017-09,2089604,3591869
"All Options on Individual Equities",Option,Equity,"Nasdaq Options Market",Nasdaq,NOM,"United States","North America",2017,09,2017-09,17246489,NULL
"All Options on Individual Equities",Option,Equity,"Nasdaq PHLX",Nasdaq,PHLX,"United States","North America",2017,09,2017-09,26621863,NULL
"All Options on Individual Equities",Option,Equity,"National Stock Exchange of India","National Stock Exchange of India",NSE,India,Asia,2017,09,2017-09,10363286,221377
"All Options on Individual Equities",Option,Equity,"NYSE Amex","Intercontinental Exchange",AMEX,"United States","North America",2017,09,2017-09,9678408,NULL
"All Options on Individual Equities",Option,Equity,"NYSE Arca","Intercontinental Exchange",ARCA,"United States","North America",2017,09,2017-09,14981080,NULL
"All Options on Individual Equities",Option,Equity,OCC,OCC,OCC,"United States","North America",2017,09,2017-09,NULL,178020292
"All Options on Individual Equities",Option,Equity,"Oslo Stock Exchange","Oslo Stock Exchange",OSL,Norway,Europe,2017,09,2017-09,187645,301427
"All Options on Individual Equities",Option,Equity,"Taiwan Futures Exchange","Taiwan Futures Exchange",TAIFEX,Taiwan,Asia,2017,09,2017-09,20187,6389
"All Options on Individual Equities",Option,Equity,"Tel-Aviv Stock Exchange","Tel-Aviv Stock Exchange",TASE,Israel,Other,2017,09,2017-09,51753,59215
"All Options on Individual Equities (Combined)",Option,Equity,"Japan Exchange","Japan Exchange",JPX,Japan,Asia,2017,09,2017-09,84854,88320
"All Options on Irish Equities",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,722,785
"All Options on Italian Equities",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,438644,2322364
"All Options on Russian Equities",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,3559,27091
"All Options on Spanish Equities",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,328211,2272234
"All Options on Swedish Equities",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,228,1454
"All Options on Swiss Equities",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,3442916,11368702
"Alumina FOB Australia (Platts) (ALA)",Future,Metals,"Commodity Exchange (COMEX)","CME Group",COMEX,"United States","North America",2017,09,2017-09,2910,3900
Aluminium,Future,Metals,"London Metal Exchange","Hong Kong Exchanges and Clearing",LME,"United Kingdom",Europe,2017,09,2017-09,5149932,912953
"Aluminium Alloy",Future,Metals,"London Metal Exchange","Hong Kong Exchanges and Clearing",LME,"United Kingdom",Europe,2017,09,2017-09,3926,496
