Exchange_Name,FIA_Region,Open_Interest,Open_Interest,Volume,Volume,Ratio,Ratio
,,1998,341361039,1998,75809293,1998,3
,,1999,341361039,1999,88536120,1999,5
,,2000,341361039,2000,88342574,2000,6
,,2001,341361039,2001,88023496,2001,7
,,2002,341361039,2002,115931412,2002,8
,,2003,341361039,2003,112512530,2003,9
,,2004,341361039,2004,133459127,2004,10
,,2005,341361039,2005,174339028,2005,1
,,2006,341361039,2006,245328192,2006,2
,,2007,341361039,2007,311964829,2007,4
,,2008,341361039,2008,364155274,2008,3
,,2009,341361039,2009,375939006,2009,5
,,2010,341361039,2010,420583979,2010,6
,,2011,341361039,2011,447303404,2011,7
,,2012,341361039,2012,427482381,2012,8
,,2013,341361039,2013,421926643,2013,9
,,2014,294411013,2014,410449448,2014,10
,,2015,333946149,2015,498062018,2015,1
,,2016,251767619,2016,449747306,2016,2
New Zealand Futures Exchange,Asia,1996,251767619,1996,86159,1996,4
,,1997,251767619,1997,4596,1997,3
,,1998,251767619,1998,2863,1998,5
,,1999,251767619,1999,1564,1999,6
,,2000,251767619,2000,450,2000,7
,,2001,251767619,2001,150,2001,8
,,2009,251767619,2009,58,2009,9
,,2010,251767619,2010,467,2010,10
,,2011,251767619,2011,1353,2011,1
,,2012,251767619,2012,7207,2012,2
,,2013,2,2013,6981,2013,4
,,2014,3125,2014,10455,2014,3
,,2015,73307,2015,27702,2015,5
,,2016,187780,2016,91983,2016,6
Nord Pool,Europe,2008,187780,2008,1114850,2008,7
North American Derivative Exchange,North America,2010,187780,2010,3167,2010,8
,,2011,187780,2011,51384,2011,9
,,2012,187780,2012,81995,2012,10
,,2013,187780,2013,127040,2013,1
,,2014,187780,2014,202671,2014,2
,,2015,187780,2015,264493,2015,4
,,2016,187780,2016,189302,2016,3
NYSE Amex,North America,2016,187780,2016,3,2016,5
OCC,North America,2016,1,2016,3,2016,6
Pakistan Mercantile Exchange,Asia,2013,64438,2013,2227601,2013,7
,,2014,58519,2014,2348971,2014,8
,,2015,48013,2015,2539649,2015,9
,,2016,33416,2016,1130093,2016,10
Rosario Futures Exchange,Latin America,2011,5000,2011,9928,2011,1
,,2012,5000,2012,22664,2012,2
,,2013,8701,2013,18198,2013,4
,,2014,26529,2014,34168,2014,3
,,2015,46887,2015,33244,2015,5
,,2016,36207,2016,121564,2016,6
SGX Asiaclear,Asia,2009,5000,2009,8835,2009,7
,,2010,5000,2010,38589,2010,8
,,2011,5000,2011,10037,2011,9
,,2012,5000,2012,19437,2012,10
,,2013,33216,2013,27500,2013,1
,,2014,114148,2014,93855,2014,2
,,2015,63651,2015,48393,2015,4
,,2016,23627,2016,15106,2016,3
Shanghai Futures Exchange,Asia,2004,5000,2004,2818855,2004,5
,,2005,5000,2005,9809550,2005,6
,,2006,5000,2006,11492313,2006,7
