Exchange_Name,FIA_Region,Report_Year,Open_Interest,Volume,Ratio
JSE Securities Exchange,Other,2010,8092,3002,0.370983688
JSE Securities Exchange,Other,2011,8092,25615,3.165472071
JSE Securities Exchange,Other,2012,8092,33077,4.0876174
JSE Securities Exchange,Other,2013,8092,18588,2.297083539
JSE Securities Exchange,Other,2014,20272,20754,1.023776638
JSE Securities Exchange,Other,2015,59032,104060,1.762772733
JSE Securities Exchange,Other,2016,46704,110333,2.362388661
Kansas City Board of Trade,North America,1995,46704,80141,1.715934395
Kansas City Board of Trade,North America,1996,46704,91556,1.960346009
Kansas City Board of Trade,North America,1997,46704,86963,1.862003255
Kansas City Board of Trade,North America,1998,46704,77405,1.657352689
Kansas City Board of Trade,North America,1999,46704,18385,0.393649366
Kansas City Board of Trade,North America,2000,46704,1,2.14114E-05
Minneapolis Grain Exchange,North America,1998,46704,54,0.001156218
Minneapolis Grain Exchange,North America,1999,46704,250,0.005352861
Minneapolis Grain Exchange,North America,2000,46704,205,0.004389346
Montreal Exchange,North America,2010,46704,4,8.56458E-05
Montreal Exchange,North America,2014,46704,4,8.56458E-05
Moscow Exchange,Europe,2007,46704,362252,7.756337787
Moscow Exchange,Europe,2008,46704,856705,18.34328965
Moscow Exchange,Europe,2009,46704,7499735,160.580143
Moscow Exchange,Europe,2010,46704,11540673,247.1024538
Moscow Exchange,Europe,2011,46704,19754755,422.9777963
Moscow Exchange,Europe,2012,46704,12222538,261.7021668
Moscow Exchange,Europe,2013,361499,18208714,50.37002592
Moscow Exchange,Europe,2014,334640,7131944,21.31228783
Moscow Exchange,Europe,2015,2953632,111543331,37.76480313
Moscow Exchange,Europe,2016,7812204,302753771,38.753951
Multi Commodity Exchange of India,Asia,2005,5000,5217833,1043.5666
Multi Commodity Exchange of India,Asia,2006,5000,6584572,1316.9144
Multi Commodity Exchange of India,Asia,2007,5000,15671922,3134.3844
Multi Commodity Exchange of India,Asia,2008,5000,21300311,4260.0622
Multi Commodity Exchange of India,Asia,2009,5000,52331712,10466.3424
Multi Commodity Exchange of India,Asia,2010,5000,52717713,10543.5426
Multi Commodity Exchange of India,Asia,2011,5000,64638423,12927.6846
Multi Commodity Exchange of India,Asia,2012,5000,85807441,17161.4882
Multi Commodity Exchange of India,Asia,2013,691914,63444751,91.69456175
Multi Commodity Exchange of India,Asia,2014,293587,36361020,123.8509198
Multi Commodity Exchange of India,Asia,2015,853510,107586332,126.0516362
Multi Commodity Exchange of India,Asia,2016,667977,108504315,162.4372022
Nasdaq Commodities,Europe,2013,1398410,848765,0.606950036
Nasdaq Commodities,Europe,2014,3534542,1447146,0.409429567
Nasdaq Commodities,Europe,2015,5981701,2281077,0.381342531
Nasdaq Commodities,Europe,2016,5104893,2212321,0.433372649
Nasdaq NFX,North America,2015,1217563,3523298,2.893729524
Nasdaq NFX,North America,2016,6727142,21251450,3.159060713
Nasdaq OMX Commodities,Europe,2009,1499,906096,604.466978
Nasdaq OMX Commodities,Europe,2010,1499,1004194,669.9092728
Nasdaq OMX Commodities,Europe,2011,1499,858484,572.7044696
Nasdaq OMX Commodities,Europe,2012,1499,880917,587.6697799
National Commodity & Derivatives Exchange,Asia,2005,1499,132023,88.07404937
National Commodity & Derivatives Exchange,Asia,2006,1499,140092,93.45697131
National Commodity & Derivatives Exchange,Asia,2007,1499,162689,108.5316878
National Commodity & Derivatives Exchange,Asia,2008,1499,297650,198.5657105
National Commodity & Derivatives Exchange,Asia,2009,1499,402056,268.2161441
National Commodity & Derivatives Exchange,Asia,2010,1499,2277100,1519.079386
National Commodity & Derivatives Exchange,Asia,2011,1499,4227438,2820.172115
National Commodity & Derivatives Exchange,Asia,2012,1499,831012,554.3775851
National Commodity & Derivatives Exchange,Asia,2013,1499,63874,42.61107405
National Commodity & Derivatives Exchange,Asia,2014,446,9433,21.15022422
New York Board of Trade,North America,2004,341361039,1381,4.04557E-06
New York Mercantile Exchange,North America,1993,341361039,54584872,0.159903638
New York Mercantile Exchange,North America,1994,341361039,57142180,0.167395143
New York Mercantile Exchange,North America,1995,341361039,53593396,0.156999159
New York Mercantile Exchange,North America,1996,341361039,55451721,0.162443029
New York Mercantile Exchange,North America,1997,341361039,63002464,0.184562551
New York Mercantile Exchange,North America,1998,341361039,75809293,0.222079512
New York Mercantile Exchange,North America,1999,341361039,88536120,0.259362112
New York Mercantile Exchange,North America,2000,341361039,88342574,0.258795129
New York Mercantile Exchange,North America,2001,341361039,88023496,0.257860406
New York Mercantile Exchange,North America,2002,341361039,115931412,0.339615242
New York Mercantile Exchange,North America,2003,341361039,112512530,0.329599799
New York Mercantile Exchange,North America,2004,341361039,133459127,0.390961802
New York Mercantile Exchange,North America,2005,341361039,174339028,0.510717417
New York Mercantile Exchange,North America,2006,341361039,245328192,0.718676603
New York Mercantile Exchange,North America,2007,341361039,311964829,0.913885281
New York Mercantile Exchange,North America,2008,341361039,364155274,1.066774565
New York Mercantile Exchange,North America,2009,341361039,375939006,1.101294416
New York Mercantile Exchange,North America,2010,341361039,420583979,1.232079619
New York Mercantile Exchange,North America,2011,341361039,447303404,1.310352831
New York Mercantile Exchange,North America,2012,341361039,427482381,1.252288141
New York Mercantile Exchange,North America,2013,341361039,421926643,1.236012886
New York Mercantile Exchange,North America,2014,294411013,410449448,1.394137549
New York Mercantile Exchange,North America,2015,333946149,498062018,1.491444113
New York Mercantile Exchange,North America,2016,251767619,449747306,1.786358817
New Zealand Futures Exchange,Asia,1996,251767619,86159,0.000342216
New Zealand Futures Exchange,Asia,1997,251767619,4596,1.82549E-05
New Zealand Futures Exchange,Asia,1998,251767619,2863,1.13716E-05
New Zealand Futures Exchange,Asia,1999,251767619,1564,6.21208E-06
New Zealand Futures Exchange,Asia,2000,251767619,450,1.78736E-06
New Zealand Futures Exchange,Asia,2001,251767619,150,5.95787E-07
New Zealand Futures Exchange,Asia,2009,251767619,58,2.30371E-07
New Zealand Futures Exchange,Asia,2010,251767619,467,1.85489E-06
New Zealand Futures Exchange,Asia,2011,251767619,1353,5.374E-06
New Zealand Futures Exchange,Asia,2012,251767619,7207,2.86256E-05
New Zealand Futures Exchange,Asia,2013,2,6981,3490.5
New Zealand Futures Exchange,Asia,2014,3125,10455,3.3456
New Zealand Futures Exchange,Asia,2015,73307,27702,0.377890242
New Zealand Futures Exchange,Asia,2016,187780,91983,0.489844499
Nord Pool,Europe,2008,187780,1114850,5.937000746
North American Derivative Exchange,North America,2010,187780,3167,0.016865481
North American Derivative Exchange,North America,2011,187780,51384,0.273639365
North American Derivative Exchange,North America,2012,187780,81995,0.436654596
North American Derivative Exchange,North America,2013,187780,127040,0.676536372
North American Derivative Exchange,North America,2014,187780,202671,1.079300245
North American Derivative Exchange,North America,2015,187780,264493,1.408525935
North American Derivative Exchange,North America,2016,187780,189302,1.00810523
NYSE Amex,North America,2016,187780,3,1.59761E-05
OCC,North America,2016,1,3,3
Pakistan Mercantile Exchange,Asia,2013,64438,2227601,34.56967938
Pakistan Mercantile Exchange,Asia,2014,58519,2348971,40.1403134
Pakistan Mercantile Exchange,Asia,2015,48013,2539649,52.89502843
Pakistan Mercantile Exchange,Asia,2016,33416,1130093,33.81891908
Rosario Futures Exchange,Latin America,2011,5000,9928,1.9856
Rosario Futures Exchange,Latin America,2012,5000,22664,4.5328
Rosario Futures Exchange,Latin America,2013,8701,18198,2.091483738
Rosario Futures Exchange,Latin America,2014,26529,34168,1.287949037
Rosario Futures Exchange,Latin America,2015,46887,33244,0.709023823
Rosario Futures Exchange,Latin America,2016,36207,121564,3.357472312
SGX Asiaclear,Asia,2009,5000,8835,1.767
SGX Asiaclear,Asia,2010,5000,38589,7.7178
SGX Asiaclear,Asia,2011,5000,10037,2.0074
SGX Asiaclear,Asia,2012,5000,19437,3.8874
SGX Asiaclear,Asia,2013,33216,27500,0.827914258
SGX Asiaclear,Asia,2014,114148,93855,0.822222028
SGX Asiaclear,Asia,2015,63651,48393,0.760286563
SGX Asiaclear,Asia,2016,23627,15106,0.639353282
Shanghai Futures Exchange,Asia,2004,5000,2818855,563.771
Shanghai Futures Exchange,Asia,2005,5000,9809550,1961.91
Shanghai Futures Exchange,Asia,2006,5000,11492313,2298.4626
Shanghai Futures Exchange,Asia,2007,5000,12005094,2401.0188
Shanghai Futures Exchange,Asia,2008,5000,30810540,6162.108
Shanghai Futures Exchange,Asia,2009,5000,45753969,9150.7938
Shanghai Futures Exchange,Asia,2010,5000,10682204,2136.4408
Shanghai Futures Exchange,Asia,2011,5000,1971141,394.2282
Shanghai Futures Exchange,Asia,2012,5000,9132,1.8264
Shanghai Futures Exchange,Asia,2013,70690,3135340,44.35337389
Shanghai Futures Exchange,Asia,2014,100084,651638,6.510910835
Shanghai Futures Exchange,Asia,2015,424681,32401698,76.29655671
Shanghai Futures Exchange,Asia,2016,4394986,142796227,32.4907126
Singapore Exchange,Asia,2010,5000,6490,1.298
Singapore Exchange,Asia,2011,5000,1746,0.3492
Singapore International Monetary Exchange,Asia,1994,5000,171896,34.3792
Singapore International Monetary Exchange,Asia,1995,5000,92866,18.5732
Singapore International Monetary Exchange,Asia,1996,5000,63577,12.7154
Singapore International Monetary Exchange,Asia,1997,5000,34833,6.9666
Singapore International Monetary Exchange,Asia,1998,5000,32600,6.52
Singapore International Monetary Exchange,Asia,1999,5000,18853,3.7706
Singapore International Monetary Exchange,Asia,2000,5000,3980,0.796
Singapore International Monetary Exchange,Asia,2001,5000,50,0.01
Singapore International Monetary Exchange,Asia,2002,5000,1282,0.2564
Singapore International Monetary Exchange,Asia,2003,5000,2590,0.518
Singapore Mercantile Exchange,Asia,2010,5000,2090,0.418
Singapore Mercantile Exchange,Asia,2011,5000,25723,5.1446
Singapore Mercantile Exchange,Asia,2012,5000,3429,0.6858
Thailand Futures Exchange,Asia,2011,5000,3320,0.664
Thailand Futures Exchange,Asia,2012,5000,147823,29.5646
Thailand Futures Exchange,Asia,2013,5381,46496,8.640773091
Thailand Futures Exchange,Asia,2014,4921,32530,6.610445031
Thailand Futures Exchange,Asia,2015,5057,25970,5.135455804
Thailand Futures Exchange,Asia,2016,2982,19076,6.39704896
Tokyo Commodity Exchange,Asia,1999,5000,5414831,1082.9662
Tokyo Commodity Exchange,Asia,2000,5000,21111439,4222.2878
Tokyo Commodity Exchange,Asia,2001,5000,25654212,5130.8424
Tokyo Commodity Exchange,Asia,2002,5000,33385885,6677.177
Tokyo Commodity Exchange,Asia,2003,5000,41068117,8213.6234
Tokyo Commodity Exchange,Asia,2004,5000,39205280,7841.056
Tokyo Commodity Exchange,Asia,2005,5000,26732003,5346.4006
Tokyo Commodity Exchange,Asia,2006,5000,19386944,3877.3888
Tokyo Commodity Exchange,Asia,2007,5000,11369543,2273.9086
Tokyo Commodity Exchange,Asia,2008,5000,6129295,1225.859
Tokyo Commodity Exchange,Asia,2009,5000,4383212,876.6424
Tokyo Commodity Exchange,Asia,2010,5000,4665935,933.187
Tokyo Commodity Exchange,Asia,2011,5000,4789225,957.845
Tokyo Commodity Exchange,Asia,2012,5000,4532168,906.4336
Tokyo Commodity Exchange,Asia,2013,780046,4402511,5.643912026
Tokyo Commodity Exchange,Asia,2014,612239,3489531,5.699622206
Tokyo Commodity Exchange,Asia,2015,883928,5778780,6.537613923
Tokyo Commodity Exchange,Asia,2016,959395,5565931,5.801500946
Zhengzhou Commodity Exchange,Asia,2013,141702,4357384,30.75033521
Zhengzhou Commodity Exchange,Asia,2014,496623,5646295,11.36937878
Zhengzhou Commodity Exchange,Asia,2015,254625,2652047,10.41550123
Zhengzhou Commodity Exchange,Asia,2016,1026627,34859715,33.95557978
